id_medidor,id_suministro,marca_medidor,tecnologia_medidor,numero_serie,fecha_instalacion,fecha_retiro,estado_medidor
2000127,1000108,Elster,Electrónico,ELS-846XXX,2024-09-27,2024-12-31,RETIRADO
2000128,1000108,Landis+Gyr,Electrónico,LAN-269XXX,2024-12-31,2024-12-31,RETIRADO
2000129,1000108,Elster,AMI,ELS-604XXX,2024-12-31,,ACTIVO
2000130,1000109,Landis+Gyr,AMI,LAN-885XXX,2024-08-24,,ACTIVO
2000131,1000110,Actaris,Electrónico,ACT-721XXX,2024-11-18,2024-12-31,RETIRADO
2000132,1000110,Landis+Gyr,Electromecánico,LAN-302XXX,2024-12-31,,ACTIVO
2000133,1000111,Actaris,AMI,ACT-561XXX,2024-10-12,,ACTIVO
2000134,1000112,Landis+Gyr,AMI,LAN-209XXX,2024-12-19,,ACTIVO
2000135,1000113,Actaris,AMI,ACT-931XXX,2024-08-29,,ACTIVO
2000136,1000114,Landis+Gyr,AMI,LAN-746XXX,2024-07-18,,ACTIVO
2000137,1000115,Elster,AMI,ELS-854XXX,2024-04-26,,ACTIVO
2000138,1000116,Elster,AMI,ELS-513XXX,2024-12-20,2024-12-31,RETIRADO
2000139,1000116,Iskra,AMI,ISK-517XXX,2024-12-31,,ACTIVO
2000140,1000117,Holley,Electrónico,HOL-939XXX,2024-11-02,,ACTIVO
2000141,1000118,Holley,Electrónico,HOL-644XXX,2023-05-09,,ACTIVO
2000142,1000119,Actaris,Electromecánico,ACT-807XXX,2021-11-05,,ACTIVO
2000143,1000120,Landis+Gyr,Electrónico,LAN-649XXX,2024-12-19,,ACTIVO
2000144,1000121,Landis+Gyr,AMI,LAN-260XXX,2024-08-07,,ACTIVO
2000145,1000122,Landis+Gyr,AMI,LAN-218XXX,2024-09-21,,ACTIVO
2000146,1000123,Itron,Electrónico,ITR-400XXX,2023-10-21,,ACTIVO
2000147,1000124,Iskra,Electrónico,ISK-371XXX,2024-10-17,,ACTIVO
2000148,1000125,Actaris,AMI,ACT-820XXX,2023-08-24,,ACTIVO
2000149,1000126,Elster,Electrónico,ELS-740XXX,2024-12-29,,ACTIVO
2000150,1000127,Actaris,Electrónico,ACT-992XXX,2024-10-14,,ACTIVO
2000151,1000128,Elster,Electromecánico,ELS-526XXX,2024-09-27,,ACTIVO
2000152,1000129,Holley,Electrónico,HOL-263XXX,2024-09-05,,ACTIVO
2000153,1000130,Iskra,Electrónico,ISK-743XXX,2024-10-13,,ACTIVO
2000154,1000131,Actaris,AMI,ACT-919XXX,2024-12-01,,ACTIVO
2000155,1000132,Elster,AMI,ELS-918XXX,2024-06-22,,ACTIVO
2000156,1000133,Holley,Electrónico,HOL-113XXX,2024-12-30,,ACTIVO
2000157,1000134,Iskra,Electrónico,ISK-258XXX,2024-11-17,,ACTIVO
2000158,1000135,Landis+Gyr,Electrónico,LAN-520XXX,2024-05-14,,ACTIVO
2000159,1000136,Actaris,AMI,ACT-404XXX,2023-12-02,,ACTIVO
2000160,1000137,Itron,Electrónico,ITR-552XXX,2024-01-27,,ACTIVO
2000161,1000138,Elster,Electrónico,ELS-608XXX,2024-03-22,,ACTIVO
2000162,1000139,Landis+Gyr,Electrónico,LAN-801XXX,2024-12-25,,ACTIVO
2000163,1000140,Landis+Gyr,Electrónico,LAN-491XXX,2024-06-24,2024-12-26,RETIRADO
2000164,1000141,Landis+Gyr,Electrónico,LAN-757XXX,2024-06-02,2024-12-25,RETIRADO
2000165,1000142,Holley,Electrónico,HOL-602XXX,2022-04-17,,ACTIVO
2000166,1000143,Holley,AMI,HOL-636XXX,2024-03-03,,ACTIVO
2000167,1000144,Elster,AMI,ELS-191XXX,2024-02-18,2024-09-01,RETIRADO
2000168,1000145,Elster,AMI,ELS-688XXX,2024-09-02,,ACTIVO
2000169,1000146,Elster,AMI,ELS-234XXX,2024-07-08,,ACTIVO
2000170,1000147,Itron,AMI,ITR-919XXX,2024-05-26,,ACTIVO
2000171,1000148,Iskra,AMI,ISK-276XXX,2024-02-04,,ACTIVO
2000172,1000149,Actaris,Electromecánico,ACT-825XXX,2024-07-12,2024-12-31,RETIRADO
2000173,1000149,Itron,AMI,ITR-149XXX,2024-12-31,,ACTIVO
2000174,1000150,Landis+Gyr,AMI,LAN-779XXX,2024-10-20,,ACTIVO
2000175,1000151,Iskra,AMI,ISK-900XXX,2024-09-13,,ACTIVO
2000176,1000152,Iskra,Electromecánico,ISK-493XXX,2024-09-18,,ACTIVO
2000177,1000153,Itron,Electrónico,ITR-330XXX,2022-12-31,,ACTIVO
2000178,1000154,Itron,Electrónico,ITR-870XXX,2024-11-22,,ACTIVO
2000179,1000155,Holley,Electromecánico,HOL-732XXX,2024-12-20,,ACTIVO
2000180,1000156,Iskra,Electrónico,ISK-141XXX,2023-12-19,,ACTIVO
2000181,1000157,Iskra,Electrónico,ISK-767XXX,2024-08-24,,ACTIVO
2000182,1000158,Holley,AMI,HOL-556XXX,2024-10-19,2024-12-31,RETIRADO
2000183,1000158,Holley,Electrónico,HOL-107XXX,2024-12-31,,ACTIVO
2000184,1000159,Landis+Gyr,Electrónico,LAN-766XXX,2024-03-11,,ACTIVO
2000185,1000160,Itron,Electrónico,ITR-909XXX,2024-08-20,,ACTIVO
2000186,1000161,Elster,Electrónico,ELS-271XXX,2024-11-19,2024-12-31,RETIRADO
2000187,1000161,Actaris,AMI,ACT-570XXX,2024-12-31,,ACTIVO
2000188,1000162,Landis+Gyr,Electrónico,LAN-867XXX,2024-01-19,2024-09-10,RETIRADO
2000189,1000163,Iskra,Electrónico,ISK-803XXX,2024-09-22,,ACTIVO
2000190,1000164,Actaris,Electrónico,ACT-952XXX,2024-11-12,,ACTIVO
2000191,1000165,Landis+Gyr,AMI,LAN-258XXX,2024-12-26,,ACTIVO
2000192,1000166,Actaris,Electrónico,ACT-566XXX,2024-12-22,,ACTIVO
2000193,1000167,Elster,AMI,ELS-910XXX,2024-06-10,,ACTIVO
2000194,1000168,Holley,AMI,HOL-595XXX,2024-11-25,,ACTIVO
2000195,1000169,Iskra,Electrónico,ISK-795XXX,2024-08-10,,ACTIVO
2000196,1000170,Iskra,Electrónico,ISK-885XXX,2024-12-03,,ACTIVO
2000197,1000171,Itron,AMI,ITR-218XXX,2024-12-23,,ACTIVO
2000198,1000172,Elster,AMI,ELS-468XXX,2024-07-30,,ACTIVO
2000199,1000173,Landis+Gyr,AMI,LAN-824XXX,2024-12-13,2024-12-31,RETIRADO
2000200,1000173,Landis+Gyr,Electrónico,LAN-377XXX,2024-12-31,,ACTIVO
2000201,1000174,Elster,AMI,ELS-150XXX,2024-11-04,,ACTIVO
2000202,1000175,Actaris,Electrónico,ACT-424XXX,2024-12-21,,ACTIVO
2000203,1000176,Actaris,AMI,ACT-274XXX,2024-09-10,,ACTIVO
2000204,1000177,Landis+Gyr,Electrónico,LAN-771XXX,2024-11-11,2024-12-31,RETIRADO
2000205,1000177,Elster,Electrónico,ELS-614XXX,2024-12-31,,ACTIVO
2000206,1000178,Landis+Gyr,Electromecánico,LAN-925XXX,2023-05-20,,ACTIVO
2000207,1000179,Holley,Electrónico,HOL-476XXX,2024-08-27,,ACTIVO
2000208,1000180,Iskra,Electrónico,ISK-320XXX,2024-09-30,,ACTIVO
2000209,1000181,Elster,Electrónico,ELS-355XXX,2022-06-10,,ACTIVO
2000210,1000182,Elster,Electromecánico,ELS-274XXX,2024-04-25,2024-12-31,RETIRADO
2000211,1000182,Holley,Electrónico,HOL-408XXX,2024-12-31,,ACTIVO
2000212,1000183,Actaris,AMI,ACT-856XXX,2024-12-08,2024-12-31,RETIRADO
2000213,1000183,Actaris,Electrónico,ACT-458XXX,2024-12-31,,ACTIVO
2000214,1000184,Elster,Electromecánico,ELS-566XXX,2024-09-08,2024-12-31,RETIRADO
2000215,1000184,Actaris,AMI,ACT-428XXX,2024-12-31,2024-12-31,RETIRADO
2000216,1000184,Iskra,AMI,ISK-607XXX,2024-12-31,,ACTIVO
2000217,1000185,Iskra,AMI,ISK-707XXX,2024-11-11,,ACTIVO
2000218,1000186,Iskra,Electrónico,ISK-178XXX,2024-09-27,,ACTIVO
2000219,1000187,Actaris,AMI,ACT-429XXX,2024-11-04,,ACTIVO
2000220,1000188,Actaris,AMI,ACT-875XXX,2024-12-13,,ACTIVO
2000221,1000189,Landis+Gyr,AMI,LAN-346XXX,2023-09-22,,ACTIVO
2000222,1000190,Holley,AMI,HOL-383XXX,2024-03-26,,ACTIVO
2000223,1000191,Itron,AMI,ITR-739XXX,2024-10-15,2024-12-31,RETIRADO
2000224,1000191,Landis+Gyr,AMI,LAN-758XXX,2024-12-31,,ACTIVO
2000225,1000192,Holley,AMI,HOL-675XXX,2022-12-11,,ACTIVO
2000226,1000193,Actaris,AMI,ACT-463XXX,2024-02-17,,ACTIVO
2000227,1000194,Elster,Electrónico,ELS-982XXX,2024-12-14,,ACTIVO
2000228,1000195,Itron,Electrónico,ITR-131XXX,2023-12-03,,ACTIVO
2000229,1000196,Elster,AMI,ELS-156XXX,2024-10-01,,ACTIVO
2000230,1000197,Iskra,Electrónico,ISK-967XXX,2024-12-06,,ACTIVO
2000231,1000198,Actaris,AMI,ACT-642XXX,2024-03-28,,ACTIVO
2000232,1000199,Actaris,AMI,ACT-560XXX,2024-01-25,2024-12-31,RETIRADO
2000233,1000199,Iskra,Electrónico,ISK-629XXX,2024-12-31,,ACTIVO
2000234,1000200,Landis+Gyr,Electrónico,LAN-617XXX,2024-08-16,,ACTIVO
2000235,1000201,Actaris,AMI,ACT-231XXX,2024-12-23,,ACTIVO
2000236,1000202,Landis+Gyr,AMI,LAN-571XXX,2024-12-28,,ACTIVO
2000237,1000203,Landis+Gyr,AMI,LAN-500XXX,2023-07-29,,ACTIVO
2000238,1000204,Itron,Electrónico,ITR-711XXX,2024-12-16,,ACTIVO
2000239,1000205,Iskra,AMI,ISK-113XXX,2024-05-12,2024-12-25,RETIRADO
2000240,1000206,Iskra,Electrónico,ISK-203XXX,2024-12-10,2024-12-31,RETIRADO
2000241,1000206,Landis+Gyr,Electrónico,LAN-309XXX,2024-12-31,,ACTIVO
2000242,1000207,Iskra,AMI,ISK-903XXX,2024-12-24,,ACTIVO
2000243,1000208,Actaris,Electrónico,ACT-396XXX,2024-12-12,,ACTIVO
2000244,1000209,Holley,Electrónico,HOL-759XXX,2024-05-21,2024-12-31,RETIRADO
2000245,1000209,Iskra,Electrónico,ISK-778XXX,2024-12-31,,ACTIVO
2000246,1000210,Itron,AMI,ITR-119XXX,2022-07-28,,ACTIVO
2000247,1000211,Actaris,Electrónico,ACT-807XXX,2024-12-15,,ACTIVO
2000248,1000212,Elster,AMI,ELS-889XXX,2024-04-27,,ACTIVO
2000249,1000213,Actaris,Electrónico,ACT-511XXX,2024-06-11,2024-12-31,RETIRADO
2000250,1000213,Elster,Electrónico,ELS-410XXX,2024-12-31,,ACTIVO
2000251,1000214,Itron,Electrónico,ITR-763XXX,2024-11-18,,ACTIVO
2000252,1000215,Iskra,AMI,ISK-457XXX,2022-03-08,,ACTIVO
2000253,1000216,Actaris,Electrónico,ACT-658XXX,2024-04-12,,ACTIVO
2000254,1000217,Holley,Electromecánico,HOL-248XXX,2023-12-17,2024-06-21,RETIRADO
2000255,1000218,Elster,AMI,ELS-905XXX,2024-09-19,,ACTIVO
2000256,1000219,Itron,AMI,ITR-905XXX,2024-05-03,,ACTIVO
2000257,1000220,Itron,AMI,ITR-787XXX,2023-02-17,,ACTIVO
2000258,1000221,Elster,Electrónico,ELS-381XXX,2022-07-28,,ACTIVO
2000259,1000222,Actaris,AMI,ACT-381XXX,2020-11-21,2021-12-30,RETIRADO
2000260,1000222,Iskra,AMI,ISK-296XXX,2023-06-15,2024-06-26,RETIRADO
2000261,1000222,Iskra,Electrónico,ISK-617XXX,2024-09-12,,ACTIVO
2000262,1000223,Elster,Electrónico,ELS-101XXX,2024-03-03,2024-10-12,RETIRADO
2000263,1000224,Iskra,AMI,ISK-835XXX,2024-03-28,,ACTIVO
2000264,1000225,Actaris,AMI,ACT-537XXX,2024-10-13,,ACTIVO
2000265,1000226,Iskra,Electrónico,ISK-946XXX,2021-12-02,,ACTIVO
2000266,1000227,Itron,Electrónico,ITR-310XXX,2024-06-08,2024-12-18,RETIRADO
2000267,1000228,Elster,AMI,ELS-402XXX,2023-12-11,2024-11-25,RETIRADO
2000268,1000229,Actaris,AMI,ACT-518XXX,2023-12-13,,ACTIVO
2000269,1000230,Iskra,AMI,ISK-468XXX,2024-08-29,,ACTIVO
2000270,1000231,Actaris,Electrónico,ACT-408XXX,2024-10-12,,ACTIVO
2000271,1000232,Itron,AMI,ITR-173XXX,2024-07-27,,ACTIVO
2000272,1000233,Elster,AMI,ELS-126XXX,2024-11-04,,ACTIVO
2000273,1000234,Actaris,AMI,ACT-534XXX,2024-06-06,,ACTIVO
2000274,1000235,Holley,Electrónico,HOL-766XXX,2023-12-20,,ACTIVO
2000275,1000236,Actaris,Electrónico,ACT-357XXX,2024-08-05,,ACTIVO
2000276,1000237,Actaris,Electrónico,ACT-624XXX,2024-10-15,,ACTIVO
2000277,1000238,Iskra,Electrónico,ISK-907XXX,2024-12-28,2024-12-31,RETIRADO
2000278,1000238,Elster,AMI,ELS-926XXX,2024-12-31,,ACTIVO
2000279,1000239,Iskra,AMI,ISK-276XXX,2024-12-05,,ACTIVO
2000280,1000240,Iskra,Electrónico,ISK-306XXX,2024-12-26,,ACTIVO
2000281,1000241,Itron,AMI,ITR-570XXX,2023-09-07,,ACTIVO
2000282,1000242,Holley,AMI,HOL-326XXX,2023-07-29,2024-10-24,RETIRADO
2000283,1000242,Actaris,AMI,ACT-694XXX,2024-10-28,,ACTIVO
2000284,1000243,Itron,Electrónico,ITR-350XXX,2024-04-22,,ACTIVO
2000285,1000244,Actaris,Electrónico,ACT-253XXX,2024-04-25,,ACTIVO
2000286,1000245,Elster,Electrónico,ELS-488XXX,2024-05-23,,ACTIVO
2000287,1000246,Holley,Electrónico,HOL-922XXX,2024-11-27,,ACTIVO
2000288,1000247,Landis+Gyr,Electrónico,LAN-966XXX,2024-02-29,,ACTIVO
2000289,1000248,Itron,AMI,ITR-615XXX,2024-10-02,,ACTIVO
2000290,1000249,Iskra,AMI,ISK-190XXX,2024-04-24,2024-12-31,RETIRADO
2000291,1000249,Actaris,Electromecánico,ACT-748XXX,2024-12-31,2024-12-31,RETIRADO
2000292,1000249,Actaris,Electrónico,ACT-753XXX,2024-12-31,,ACTIVO
2000293,1000250,Elster,Electrónico,ELS-103XXX,2024-03-16,,ACTIVO
2000294,1000251,Iskra,Electrónico,ISK-914XXX,2022-12-23,,ACTIVO
2000295,1000252,Actaris,Electrónico,ACT-638XXX,2024-07-26,2024-12-31,RETIRADO
2000296,1000252,Iskra,Electrónico,ISK-343XXX,2024-12-31,,ACTIVO
2000297,1000253,Iskra,AMI,ISK-219XXX,2024-12-29,,ACTIVO
2000298,1000254,Itron,Electrónico,ITR-240XXX,2024-11-13,,ACTIVO
2000299,1000255,Itron,AMI,ITR-103XXX,2023-10-26,,ACTIVO
2000300,1000256,Landis+Gyr,AMI,LAN-230XXX,2023-10-05,,ACTIVO
2000301,1000257,Iskra,Electromecánico,ISK-320XXX,2024-07-26,,ACTIVO
2000302,1000258,Actaris,AMI,ACT-558XXX,2024-12-07,,ACTIVO
2000303,1000259,Elster,Electrónico,ELS-271XXX,2024-11-17,,ACTIVO
2000304,1000260,Landis+Gyr,Electrónico,LAN-605XXX,2022-02-12,,ACTIVO
2000305,1000261,Elster,AMI,ELS-481XXX,2024-12-02,,ACTIVO
2000306,1000262,Itron,Electrónico,ITR-626XXX,2022-11-26,,ACTIVO
2000307,1000263,Actaris,AMI,ACT-231XXX,2023-06-08,,ACTIVO
2000308,1000264,Landis+Gyr,Electrónico,LAN-322XXX,2022-03-07,,ACTIVO
2000309,1000265,Iskra,Electrónico,ISK-408XXX,2024-09-23,2024-12-31,RETIRADO
2000310,1000265,Iskra,Electrónico,ISK-692XXX,2024-12-31,,ACTIVO
2000311,1000266,Landis+Gyr,AMI,LAN-295XXX,2023-12-23,,ACTIVO
2000312,1000267,Iskra,AMI,ISK-749XXX,2024-09-09,2024-12-31,RETIRADO
2000313,1000267,Iskra,AMI,ISK-772XXX,2024-12-31,,ACTIVO
2000314,1000268,Itron,AMI,ITR-280XXX,2022-08-27,,ACTIVO
2000315,1000269,Elster,Electrónico,ELS-279XXX,2024-04-09,2024-12-31,RETIRADO
2000316,1000269,Actaris,Electrónico,ACT-966XXX,2024-12-31,2024-12-31,RETIRADO
2000317,1000269,Itron,AMI,ITR-574XXX,2024-12-31,,ACTIVO
