"FECHA","TCODICLIE","PRENDAS"
"14/02/2024","2023","96"
"14/02/2024","234","168"
"14/02/2024","4003","2"
"14/02/2024","1","1951"
"15/02/2024","1","1645"
"15/02/2024","266","7573"
"15/02/2024","2023","668"
"15/02/2024","2","8604"
"15/02/2024","234","115"
"16/02/2024","234","452"
"16/02/2024","1","1810"
"16/02/2024","2023","2235"
"16/02/2024","266","6732"
"16/02/2024","2","5629"
"16/02/2024","22","571"
"17/02/2024","4003","6"
"17/02/2024","1","1689"
"17/02/2024","266","7047"
"17/02/2024","234","462"
"17/02/2024","2","6365"
"17/02/2024","28","1"
"17/02/2024","2023","1517"
"19/02/2024","2023","1527"
"19/02/2024","1","1254"
"19/02/2024","266","4221"
"19/02/2024","2","7109"
"20/02/2024","266","5702"
"20/02/2024","2023","873"
"20/02/2024","1","1835"
"20/02/2024","234","184"
"20/02/2024","2","9221"
"21/02/2024","2","7523"
"21/02/2024","2023","256"
"21/02/2024","234","1983"
"21/02/2024","266","6121"
"21/02/2024","1","1086"
"22/02/2024","2","3991"
"22/02/2024","4003","1"
"22/02/2024","2023","362"
"22/02/2024","234","2759"
"22/02/2024","1","1479"
"22/02/2024","266","7157"
"23/02/2024","266","10339"
"23/02/2024","4003","1"
"23/02/2024","19","1"
"23/02/2024","2","2598"
"23/02/2024","1","1113"
"23/02/2024","2023","748"
"23/02/2024","234","1981"
"24/02/2024","2023","413"
"24/02/2024","1","660"
"24/02/2024","266","5722"
"24/02/2024","111","2"
"24/02/2024","234","1527"
"24/02/2024","2","1853"
"26/02/2024","2","2429"
"26/02/2024","4003","83"
"26/02/2024","1","482"
"26/02/2024","234","3680"
"26/02/2024","2023","278"
"26/02/2024","266","7260"
"27/02/2024","2023","1322"
"27/02/2024","4003","1"
"27/02/2024","1","794"
"27/02/2024","234","2131"
"27/02/2024","266","8472"
"27/02/2024","2","5145"
"28/02/2024","2023","1984"
"28/02/2024","234","1818"
"28/02/2024","2","4556"
"28/02/2024","1","377"
"28/02/2024","266","11051"
"29/02/2024","234","3215"
"29/02/2024","2023","288"
"29/02/2024","1","706"
"29/02/2024","2","4329"
"29/02/2024","266","7471"
"01/03/2024","4003","241"
"01/03/2024","1","253"
"01/03/2024","2023","771"
"01/03/2024","234","1761"
"01/03/2024","2","4013"
"01/03/2024","266","7582"
"01/03/2024","19","1"
"02/03/2024","2023","1076"
"02/03/2024","1","1"
"02/03/2024","2","1326"
"02/03/2024","4003","200"
"02/03/2024","266","6959"
"02/03/2024","234","2238"
"04/03/2024","234","2492"
"04/03/2024","2","742"
"04/03/2024","2023","753"
"04/03/2024","266","5808"
"04/03/2024","1","2"
"04/03/2024","4003","336"
"05/03/2024","2","930"
"05/03/2024","2023","1193"
"05/03/2024","4003","718"
"05/03/2024","266","9152"
"05/03/2024","234","1931"
"06/03/2024","266","9100"
"06/03/2024","234","996"
"06/03/2024","4003","511"
"06/03/2024","1","86"
"06/03/2024","2023","921"
"06/03/2024","2","798"
"07/03/2024","2023","834"
"07/03/2024","234","3133"
"07/03/2024","1","730"
"07/03/2024","2","1682"
"07/03/2024","266","7151"
"07/03/2024","4003","24"
"08/03/2024","2023","521"
"08/03/2024","2","1069"
"08/03/2024","266","9092"
"08/03/2024","234","2159"
"09/03/2024","234","2114"
"09/03/2024","266","8378"
"09/03/2024","2","956"
"11/03/2024","266","6092"
"11/03/2024","234","2271"
"11/03/2024","2","1513"
"12/03/2024","2","3425"
"12/03/2024","266","9717"
"12/03/2024","234","1102"
"13/03/2024","234","1356"
"13/03/2024","4003","35"
"13/03/2024","2","2526"
"13/03/2024","266","10674"
"14/03/2024","234","2531"
"14/03/2024","2","1505"
"14/03/2024","266","15615"
"15/03/2024","234","2376"
"15/03/2024","266","8771"
"15/03/2024","2","1718"
"16/03/2024","2","3946"
"16/03/2024","266","6599"
"16/03/2024","234","3510"
"16/03/2024","2023","133"
"18/03/2024","266","8056"
"18/03/2024","2","1966"
"18/03/2024","234","5742"
"18/03/2024","2023","52"
"18/03/2024","4003","107"
"18/03/2024","1","188"
"19/03/2024","4003","18"
"19/03/2024","2","3098"
"19/03/2024","266","10543"
"19/03/2024","234","2269"
"19/03/2024","2023","156"
"20/03/2024","4003","241"
"20/03/2024","266","9125"
"20/03/2024","1","5"
"20/03/2024","2","3364"
"20/03/2024","234","3488"
"20/03/2024","2023","256"
"21/03/2024","266","8825"
"21/03/2024","4003","225"
"21/03/2024","2023","415"
"21/03/2024","2","3839"
"21/03/2024","234","5861"
"21/03/2024","1","415"
"22/03/2024","234","5839"
"22/03/2024","6","999"
"22/03/2024","1","264"
"22/03/2024","2023","377"
"22/03/2024","266","9492"
"22/03/2024","4003","192"
"22/03/2024","2","3119"
"23/03/2024","234","3975"
"23/03/2024","1","155"
"23/03/2024","2023","504"
"23/03/2024","266","6745"
"23/03/2024","2","1466"
"23/03/2024","4003","621"
"24/03/2024","266","5408"
"24/03/2024","234","4994"
"24/03/2024","4003","850"
"24/03/2024","1","46"
"24/03/2024","2","1245"
"25/03/2024","266","7402"
"25/03/2024","4003","1461"
"25/03/2024","2023","6"
"25/03/2024","2","2725"
"25/03/2024","234","5214"
"26/03/2024","4003","3409"
"26/03/2024","234","4722"
"26/03/2024","2","6566"
"26/03/2024","1","45"
"26/03/2024","266","6580"
"27/03/2024","4003","475"
"27/03/2024","1","181"
"27/03/2024","2023","107"
"27/03/2024","234","8116"
"27/03/2024","2","7430"
"27/03/2024","266","8947"
"28/03/2024","234","14905"
"28/03/2024","266","12339"
"28/03/2024","1","25"
"28/03/2024","2023","136"
"28/03/2024","2","11638"
"29/03/2024","2","6303"
"29/03/2024","234","12393"
"29/03/2024","266","5061"
"30/03/2024","266","12325"
"30/03/2024","234","2456"
"30/03/2024","1","10"
"30/03/2024","6","430"
"30/03/2024","2","11714"
"31/03/2024","2","229"
"31/03/2024","266","4986"
"01/04/2024","234","867"
"01/04/2024","2","1811"
"01/04/2024","266","2863"
"02/04/2024","2","2518"
"02/04/2024","266","5575"
"02/04/2024","234","3702"
"03/04/2024","266","9698"
"03/04/2024","6","388"
"03/04/2024","2","4652"
"03/04/2024","234","7928"
"04/04/2024","2","5219"
"04/04/2024","234","6351"
"04/04/2024","266","7360"
"04/04/2024","4003","1"
"05/04/2024","266","7140"
"05/04/2024","234","5544"
"05/04/2024","2","3505"
"06/04/2024","6","260"
"06/04/2024","2","4267"
"06/04/2024","234","3693"
"06/04/2024","4003","391"
"06/04/2024","266","5773"
"06/04/2024","9","127"
"07/04/2024","2","351"
"08/04/2024","2","4175"
"08/04/2024","6","1444"
"08/04/2024","234","4126"
"08/04/2024","9","1"
"08/04/2024","266","7313"
"08/04/2024","4003","207"
"09/04/2024","2","9304"
"09/04/2024","266","7974"
"09/04/2024","1","3"
"09/04/2024","4003","399"
"09/04/2024","234","4286"
"10/04/2024","2","6010"
"10/04/2024","234","8242"
"10/04/2024","4003","384"
"10/04/2024","266","7114"
"11/04/2024","6","1047"
"11/04/2024","4003","270"
"11/04/2024","2","6739"
"11/04/2024","266","7818"
"11/04/2024","234","6194"
"12/04/2024","266","7233"
"12/04/2024","234","5250"
"12/04/2024","4003","453"
"12/04/2024","2","3765"
"13/04/2024","6","416"
"13/04/2024","4003","306"
"13/04/2024","234","6190"
"13/04/2024","266","6492"
"13/04/2024","2","1952"
"15/04/2024","6","565"
"15/04/2024","266","8775"
"15/04/2024","4003","610"
"15/04/2024","2","3460"
"15/04/2024","234","4933"
"16/04/2024","4003","380"
"16/04/2024","234","5650"
"16/04/2024","1","3"
"16/04/2024","266","9055"
"16/04/2024","2","3815"
"16/04/2024","6","654"
"17/04/2024","266","8330"
"17/04/2024","4003","638"
"17/04/2024","234","7436"
"17/04/2024","2","4343"
"18/04/2024","1","627"
"18/04/2024","266","9463"
"18/04/2024","2","4239"
"18/04/2024","234","4503"
"18/04/2024","4003","521"
"19/04/2024","1","205"
"19/04/2024","266","9438"
"19/04/2024","234","2436"
"19/04/2024","4003","523"
"19/04/2024","2","3724"
"20/04/2024","2","3420"
"20/04/2024","4003","918"
"20/04/2024","1","200"
"20/04/2024","234","3769"
"20/04/2024","266","11969"
"21/04/2024","234","1558"
"21/04/2024","266","557"
"21/04/2024","2","75"
"22/04/2024","2","3569"
"22/04/2024","266","9838"
"22/04/2024","1","149"
"22/04/2024","4003","590"
"22/04/2024","234","5837"
"23/04/2024","1","342"
"23/04/2024","4003","904"
"23/04/2024","266","11545"
"23/04/2024","234","5313"
"23/04/2024","2","3542"
"24/04/2024","1","924"
"24/04/2024","266","13414"
"24/04/2024","4003","1160"
"24/04/2024","2","4877"
"24/04/2024","234","8124"
"25/04/2024","2","6254"
"25/04/2024","266","10725"
"25/04/2024","1","1239"
"25/04/2024","234","6080"
"25/04/2024","4003","1046"
"26/04/2024","266","8524"
"26/04/2024","2","5234"
"26/04/2024","4003","1519"
"26/04/2024","234","4865"
"27/04/2024","4003","2877"
"27/04/2024","2","3788"
"27/04/2024","234","6154"
"27/04/2024","266","8946"
"28/04/2024","2","182"
"28/04/2024","234","1048"
"28/04/2024","266","694"
"28/04/2024","4003","16"
"29/04/2024","266","10183"
"29/04/2024","1","130"
"29/04/2024","234","9458"
"29/04/2024","4003","2394"
"29/04/2024","2","3805"
"30/04/2024","4003","1718"
"30/04/2024","1","17"
"30/04/2024","266","12263"
"30/04/2024","2","3804"
"30/04/2024","234","10594"
"01/05/2024","4003","2411"
"01/05/2024","2","6703"
"01/05/2024","1","31"
"01/05/2024","266","9471"
"01/05/2024","234","11221"
"02/05/2024","2","4129"
"02/05/2024","234","6898"
"02/05/2024","266","7254"
"02/05/2024","4003","724"
"02/05/2024","1","155"
"03/05/2024","22","10"
"03/05/2024","2","1095"
"03/05/2024","234","4641"
"03/05/2024","1","467"
"03/05/2024","4003","927"
"03/05/2024","266","7905"
"04/05/2024","1","98"
"04/05/2024","266","5283"
"04/05/2024","4003","510"
"04/05/2024","2","3086"
"04/05/2024","234","5243"
"06/05/2024","4003","874"
"06/05/2024","2","1863"
"06/05/2024","266","5619"
"06/05/2024","234","5750"
"06/05/2024","1","192"
"07/05/2024","1","95"
"07/05/2024","4003","1582"
"07/05/2024","266","7233"
"07/05/2024","2","3062"
"07/05/2024","234","5704"
"08/05/2024","4003","1127"
"08/05/2024","266","9498"
"08/05/2024","234","8434"
"08/05/2024","2","3294"
"09/05/2024","234","11166"
"09/05/2024","4003","914"
"09/05/2024","2","4980"
"09/05/2024","266","9617"
"10/05/2024","266","7885"
"10/05/2024","2","4012"
"10/05/2024","234","7444"
"10/05/2024","4003","1380"
"11/05/2024","4003","877"
"11/05/2024","2","2891"
"11/05/2024","234","8869"
"11/05/2024","266","4984"
"12/05/2024","234","1487"
"13/05/2024","2","3471"
"13/05/2024","4003","712"
"13/05/2024","234","6627"
"13/05/2024","266","7352"
"14/05/2024","234","10180"
"14/05/2024","266","10035"
"14/05/2024","4003","588"
"14/05/2024","2","3803"
"15/05/2024","2","4173"
"15/05/2024","4003","690"
"15/05/2024","234","8643"
"15/05/2024","266","11806"
"16/05/2024","234","6758"
"16/05/2024","2","4387"
"16/05/2024","266","12254"
"16/05/2024","4003","349"
"17/05/2024","234","6596"
"17/05/2024","266","10008"
"17/05/2024","4003","217"
"17/05/2024","2","5625"
"18/05/2024","4003","339"
"18/05/2024","1","5"
"18/05/2024","2023","1"
"18/05/2024","2","3400"
"18/05/2024","234","5203"
"18/05/2024","266","10762"
"19/05/2024","2","386"
"20/05/2024","2","5468"
"20/05/2024","234","6534"
"20/05/2024","4003","1078"
"20/05/2024","266","8675"
"21/05/2024","2023","2"
"21/05/2024","266","12234"
"21/05/2024","4003","1112"
"21/05/2024","111","1"
"21/05/2024","1","38"
"21/05/2024","234","8768"
"21/05/2024","2","4027"
"22/05/2024","4003","807"
"22/05/2024","234","5271"
"22/05/2024","6","922"
"22/05/2024","266","14382"
"22/05/2024","1504","78"
"22/05/2024","2","5417"
"22/05/2024","9","19"
"22/05/2024","1","197"
"22/05/2024","2023","2"
"23/05/2024","234","5145"
"23/05/2024","4003","1163"
"23/05/2024","1","379"
"23/05/2024","1504","48"
"23/05/2024","2","4579"
"23/05/2024","266","12904"
"24/05/2024","1","533"
"24/05/2024","266","9587"
"24/05/2024","4003","305"
"24/05/2024","2","5741"
"24/05/2024","234","6126"
"25/05/2024","266","8248"
"25/05/2024","234","8196"
"25/05/2024","2","4799"
"25/05/2024","1","423"
"25/05/2024","4003","219"
"25/05/2024","1504","230"
"26/05/2024","234","2090"
"26/05/2024","2","1948"
"26/05/2024","266","1056"
"26/05/2024","1","127"
"27/05/2024","2","4014"
"27/05/2024","1504","488"
"27/05/2024","4003","726"
"27/05/2024","234","5930"
"27/05/2024","266","9724"
"27/05/2024","1","445"
"28/05/2024","266","10722"
"28/05/2024","2","3388"
"28/05/2024","4003","982"
"28/05/2024","1504","438"
"28/05/2024","234","4931"
"28/05/2024","1","376"
"29/05/2024","234","7974"
"29/05/2024","266","10908"
"29/05/2024","2","4803"
"29/05/2024","1","705"
"29/05/2024","4003","1106"
"29/05/2024","1504","762"
"30/05/2024","1504","668"
"30/05/2024","2","5978"
"30/05/2024","4003","920"
"30/05/2024","1","394"
"30/05/2024","234","6767"
"30/05/2024","266","13864"
"31/05/2024","2","5881"
"31/05/2024","266","14298"
"31/05/2024","1504","1664"
"31/05/2024","1","116"
"31/05/2024","4003","1115"
"31/05/2024","234","8574"
"01/06/2024","6","312"
"01/06/2024","266","10449"
"01/06/2024","4003","2243"
"01/06/2024","234","13093"
"01/06/2024","2","10121"
"01/06/2024","1504","3702"
"02/06/2024","2","4036"
"02/06/2024","4003","2978"
"02/06/2024","234","1566"
"03/06/2024","234","174"
"03/06/2024","266","6207"
"03/06/2024","2","2159"
"03/06/2024","1504","633"
"03/06/2024","4003","74"
"04/06/2024","2","981"
"04/06/2024","1","45"
"04/06/2024","4003","517"
"04/06/2024","1504","877"
"04/06/2024","266","9832"
"04/06/2024","234","1006"
"05/06/2024","234","5019"
"05/06/2024","2","4250"
"05/06/2024","1504","677"
"05/06/2024","1","129"
"05/06/2024","4003","138"
"05/06/2024","266","11190"
"06/06/2024","234","3653"
"06/06/2024","4003","646"
"06/06/2024","266","7975"
"06/06/2024","1","789"
"06/06/2024","1504","2401"
"06/06/2024","2","3039"
"07/06/2024","2","3328"
"07/06/2024","1","308"
"07/06/2024","266","9453"
"07/06/2024","1504","2611"
"07/06/2024","4003","297"
"07/06/2024","234","6827"
"08/06/2024","2","3197"
"08/06/2024","1","109"
"08/06/2024","1504","2091"
"08/06/2024","266","6269"
"08/06/2024","4003","533"
"08/06/2024","234","5650"
"09/06/2024","234","882"
"10/06/2024","2","2609"
"10/06/2024","1504","1695"
"10/06/2024","266","8839"
"10/06/2024","234","3705"
"10/06/2024","4003","982"
"10/06/2024","1","1424"
"11/06/2024","1","603"
"11/06/2024","234","8448"
"11/06/2024","4003","636"
"11/06/2024","2","3836"
"11/06/2024","266","10943"
"11/06/2024","1504","3739"
"12/06/2024","1","1316"
"12/06/2024","4003","418"
"12/06/2024","234","4827"
"12/06/2024","2","3699"
"12/06/2024","1504","3328"
"12/06/2024","266","11171"
"13/06/2024","2","4808"
"13/06/2024","234","6037"
"13/06/2024","1504","4079"
"13/06/2024","1","964"
"13/06/2024","266","13188"
"13/06/2024","4003","510"
"14/06/2024","1","620"
"14/06/2024","1504","5215"
"14/06/2024","2","4202"
"14/06/2024","234","7774"
"14/06/2024","266","9168"
"14/06/2024","4003","93"
"15/06/2024","266","6732"
"15/06/2024","4003","111"
"15/06/2024","234","3184"
"15/06/2024","1","478"
"15/06/2024","2","3203"
"15/06/2024","1504","3612"
"16/06/2024","2","64"
"16/06/2024","234","1332"
"17/06/2024","4003","245"
"17/06/2024","1504","5637"
"17/06/2024","1","1217"
"17/06/2024","2","1883"
"17/06/2024","266","8295"
"17/06/2024","234","6566"
"18/06/2024","1","1236"
"18/06/2024","2","1468"
"18/06/2024","234","6023"
"18/06/2024","4003","392"
"18/06/2024","266","7799"
"18/06/2024","1504","3925"
"19/06/2024","1504","1915"
"19/06/2024","2","3804"
"19/06/2024","4003","295"
"19/06/2024","234","4814"
"19/06/2024","266","9223"
"19/06/2024","1","499"
"20/06/2024","1","69"
"20/06/2024","6","571"
"20/06/2024","234","7751"
"20/06/2024","4003","125"
"20/06/2024","2","3045"
"20/06/2024","266","10433"
"20/06/2024","1504","729"
"21/06/2024","1","250"
"21/06/2024","234","6230"
"21/06/2024","4003","425"
"21/06/2024","2","3722"
"21/06/2024","1504","297"
"21/06/2024","266","11514"
"22/06/2024","1","74"
"22/06/2024","266","7955"
"22/06/2024","1504","316"
"22/06/2024","2","5268"
"22/06/2024","234","11295"
"22/06/2024","4003","98"
"23/06/2024","2","675"
"24/06/2024","2","4023"
"24/06/2024","1","915"
"24/06/2024","4003","433"
"24/06/2024","266","8596"
"24/06/2024","1504","623"
"24/06/2024","234","7988"
"25/06/2024","1","1927"
"25/06/2024","234","10396"
"25/06/2024","4003","704"
"25/06/2024","1504","1295"
"25/06/2024","2","4008"
"25/06/2024","266","9018"
"26/06/2024","1","2163"
"26/06/2024","4003","1670"
"26/06/2024","1504","1059"
"26/06/2024","234","8653"
"26/06/2024","266","7949"
"26/06/2024","2","3686"
"27/06/2024","234","8211"
"27/06/2024","6","1166"
"27/06/2024","1504","1461"
"27/06/2024","4003","76"
"27/06/2024","266","8362"
"27/06/2024","2","8820"
"27/06/2024","1","1433"
"28/06/2024","266","9295"
"28/06/2024","2","4743"
"28/06/2024","234","12202"
"28/06/2024","1","958"
"28/06/2024","1504","1217"
"28/06/2024","4003","349"
"29/06/2024","266","9193"
"29/06/2024","234","18561"
"29/06/2024","4003","783"
"29/06/2024","2","8015"
"29/06/2024","1504","1406"
"29/06/2024","1","145"
"30/06/2024","2","4968"
"30/06/2024","1","212"
"30/06/2024","1504","589"
"30/06/2024","266","9795"
"30/06/2024","4003","407"
"30/06/2024","234","14101"
"01/07/2024","4003","225"
"01/07/2024","2","5822"
"01/07/2024","234","5312"
"01/07/2024","1","558"
"01/07/2024","266","4604"
"02/07/2024","4003","2161"
"02/07/2024","1","357"
"02/07/2024","1504","48"
"02/07/2024","234","2397"
"02/07/2024","266","5587"
"02/07/2024","2","5361"
"03/07/2024","1504","460"
"03/07/2024","266","8997"
"03/07/2024","234","3748"
"03/07/2024","4003","568"
"03/07/2024","1","204"
"03/07/2024","2","4395"
"04/07/2024","2","6019"
"04/07/2024","234","6552"
"04/07/2024","1504","909"
"04/07/2024","266","11431"
"04/07/2024","1","62"
"05/07/2024","4003","429"
"05/07/2024","234","9388"
"05/07/2024","2","5780"
"05/07/2024","1504","580"
"05/07/2024","1","87"
"05/07/2024","266","9349"
"06/07/2024","2","5471"
"06/07/2024","4003","813"
"06/07/2024","234","6025"
"06/07/2024","266","7031"
"06/07/2024","1","106"
"06/07/2024","1504","422"
"07/07/2024","1","17"
"07/07/2024","2","842"
"08/07/2024","266","4685"
"08/07/2024","2","4021"
"08/07/2024","234","6499"
"08/07/2024","1504","744"
"08/07/2024","1","26"
"09/07/2024","2","6948"
"09/07/2024","266","6405"
"09/07/2024","234","9032"
"09/07/2024","1504","1250"
"09/07/2024","1","755"
"09/07/2024","4003","19"
"10/07/2024","266","7735"
"10/07/2024","2","8495"
"10/07/2024","234","7622"
"10/07/2024","1504","1762"
"10/07/2024","1","593"
"10/07/2024","4003","277"
"11/07/2024","1","106"
"11/07/2024","234","7498"
"11/07/2024","1504","1481"
"11/07/2024","2","7041"
"11/07/2024","4003","33"
"11/07/2024","266","8704"
"12/07/2024","266","7175"
"12/07/2024","1504","1262"
"12/07/2024","1","340"
"12/07/2024","4003","194"
"12/07/2024","234","8927"
"12/07/2024","2","4115"
"13/07/2024","266","6675"
"13/07/2024","1","647"
"13/07/2024","234","9582"
"13/07/2024","2","3354"
"13/07/2024","1504","1698"
"13/07/2024","4003","971"
"14/07/2024","1","31"
"14/07/2024","2","401"
"14/07/2024","234","841"
"14/07/2024","4003","805"
"15/07/2024","6","855"
"15/07/2024","1","298"
"15/07/2024","234","7991"
"15/07/2024","2","3504"
"15/07/2024","1504","556"
"15/07/2024","4003","123"
"15/07/2024","266","6036"
"16/07/2024","1504","1277"
"16/07/2024","266","6535"
"16/07/2024","4003","405"
"16/07/2024","234","5534"
"16/07/2024","1","512"
"16/07/2024","2","5645"
"17/07/2024","2","6846"
"17/07/2024","1504","683"
"17/07/2024","1","530"
"17/07/2024","266","6121"
"17/07/2024","234","7819"
"17/07/2024","4003","150"
"18/07/2024","1504","699"
"18/07/2024","1","219"
"18/07/2024","4003","387"
"18/07/2024","234","7905"
"18/07/2024","266","10184"
"18/07/2024","2","7303"
"19/07/2024","234","9971"
"19/07/2024","4003","126"
"19/07/2024","1","18"
"19/07/2024","2","7186"
"19/07/2024","1504","1484"
"19/07/2024","266","5732"
"19/07/2024","6","416"
"20/07/2024","234","9966"
"20/07/2024","4003","254"
"20/07/2024","266","5821"
"20/07/2024","1","52"
"20/07/2024","2","6585"
"20/07/2024","1504","2971"
"21/07/2024","1504","2490"
"21/07/2024","4003","47"
"21/07/2024","2","25"
"21/07/2024","234","2654"
"22/07/2024","1504","1469"
"22/07/2024","4003","171"
"22/07/2024","2","7527"
"22/07/2024","234","7774"
"22/07/2024","266","4735"
"22/07/2024","1","576"
"23/07/2024","266","5272"
"23/07/2024","234","7054"
"23/07/2024","1504","2273"
"23/07/2024","1","485"
"23/07/2024","2","11099"
"23/07/2024","4003","325"
"24/07/2024","266","10154"
"24/07/2024","1","378"
"24/07/2024","2","7091"
"24/07/2024","234","7228"
"24/07/2024","2023","1"
"24/07/2024","4003","362"
"24/07/2024","1504","690"
"25/07/2024","4003","200"
"25/07/2024","1","546"
"25/07/2024","1504","602"
"25/07/2024","266","19920"
"25/07/2024","6","730"
"25/07/2024","234","6649"
"25/07/2024","2","7667"
"26/07/2024","1504","1046"
"26/07/2024","266","6917"
"26/07/2024","234","11263"
"26/07/2024","4003","1148"
"26/07/2024","6","1052"
"26/07/2024","1","1008"
"26/07/2024","2","6347"
"27/07/2024","4003","422"
"27/07/2024","2","6333"
"27/07/2024","1","360"
"27/07/2024","1504","1701"
"27/07/2024","266","3782"
"27/07/2024","234","13999"
"28/07/2024","1504","28"
"28/07/2024","2","2508"
"28/07/2024","4003","172"
"28/07/2024","234","2002"
"29/07/2024","2","667"
"30/07/2024","2","3025"
"30/07/2024","234","11119"
"30/07/2024","1504","646"
"30/07/2024","4003","740"
"30/07/2024","266","4136"
"30/07/2024","1","2232"
"31/07/2024","1504","1076"
"31/07/2024","2","4996"
"31/07/2024","1","2485"
