"FECHA","LINEA","EFICIENCIA"
"05/01/2024","37","110.9"
"05/01/2024","39","125.48"
"05/01/2024","40","132.45"
"05/01/2024","41","132.36"
"05/01/2024","61","101.77"
"05/01/2024","65","111.09"
"05/01/2024","70","112.37"
"05/01/2024","71","113.61"
"06/01/2024","3","117.6"
"06/01/2024","4","122.66"
"06/01/2024","6","138.73"
"06/01/2024","7","122.81"
"06/01/2024","10","120.58"
"06/01/2024","11","84.08"
"06/01/2024","19","105.17"
"06/01/2024","20","139.93"
"06/01/2024","39","114.18"
"06/01/2024","40","114.28"
"06/01/2024","41","116.3"
"06/01/2024","48","127.06"
"06/01/2024","61","93.48"
"06/01/2024","70","124.91"
"06/01/2024","71","120.12"
"07/01/2024","3","99.86"
"07/01/2024","6","110.59"
"07/01/2024","8","131.62"
"07/01/2024","11","96.99"
"07/01/2024","12","129.28"
"07/01/2024","13","137.77"
"07/01/2024","19","86.29"
"07/01/2024","40","108.9"
"07/01/2024","41","96.34"
"07/01/2024","48","123.53"
"07/01/2024","60","121.72"
"07/01/2024","61","79.37"
"07/01/2024","65","106.77"
"07/01/2024","71","122.09"
"08/01/2024","3","133.28"
"08/01/2024","4","117.39"
"08/01/2024","6","125.22"
"08/01/2024","11","117.32"
"08/01/2024","12","134.81"
"08/01/2024","18","110.23"
"08/01/2024","19","123.63"
"08/01/2024","20","115.11"
"08/01/2024","21","135.41"
"08/01/2024","28","116.26"
"08/01/2024","34","132.34"
"08/01/2024","37","99.12"
"08/01/2024","40","102.28"
"08/01/2024","41","106.98"
"08/01/2024","48","111.25"
"08/01/2024","61","102.08"
"08/01/2024","65","110.46"
"08/01/2024","70","134.22"
"08/01/2024","71","128.93"
"09/01/2024","2","131.94"
"09/01/2024","3","104.93"
"09/01/2024","4","93.3"
"09/01/2024","6","103.56"
"09/01/2024","7","123.03"
"09/01/2024","8","92.85"
"09/01/2024","10","129.4"
"09/01/2024","11","86.44"
"09/01/2024","12","106.83"
"09/01/2024","13","110.97"
"09/01/2024","18","88.25"
"09/01/2024","19","109.18"
"09/01/2024","20","110.45"
"09/01/2024","28","79.82"
"09/01/2024","35","139.99"
"09/01/2024","36","137.3"
"09/01/2024","37","77.98"
"09/01/2024","39","107.34"
"09/01/2024","40","88.23"
"09/01/2024","41","85.19"
"09/01/2024","48","88.01"
"09/01/2024","60","117.59"
"09/01/2024","61","89.23"
"09/01/2024","65","95.9"
"09/01/2024","70","104.08"
"09/01/2024","71","86.14"
"10/01/2024","2","129.46"
"10/01/2024","3","104.87"
"10/01/2024","4","91.51"
"10/01/2024","6","124.44"
"10/01/2024","7","127.96"
"10/01/2024","8","99.96"
"10/01/2024","10","123.31"
"10/01/2024","11","93"
"10/01/2024","12","116.34"
"10/01/2024","13","125.73"
"10/01/2024","18","95.49"
"10/01/2024","19","116.94"
"10/01/2024","20","118.95"
"10/01/2024","28","97.17"
"10/01/2024","36","129.37"
"10/01/2024","37","94.79"
"10/01/2024","39","95.39"
"10/01/2024","40","88.66"
"10/01/2024","41","93.22"
"10/01/2024","48","92.97"
"10/01/2024","60","116.77"
"10/01/2024","61","87.9"
"10/01/2024","65","118.28"
"10/01/2024","70","108.87"
"10/01/2024","71","85.17"
"11/01/2024","3","118.46"
"11/01/2024","4","73.24"
"11/01/2024","6","138.39"
"11/01/2024","7","122.56"
"11/01/2024","8","122.96"
"11/01/2024","10","103.28"
"11/01/2024","11","81.39"
"11/01/2024","12","111.87"
"11/01/2024","13","107.44"
"11/01/2024","18","103.42"
"11/01/2024","19","123.66"
"11/01/2024","20","109.31"
"11/01/2024","28","97.37"
"11/01/2024","34","133.71"
"11/01/2024","36","131.33"
"11/01/2024","37","91.93"
"11/01/2024","39","96.01"
"11/01/2024","40","117.41"
"11/01/2024","41","107.29"
"11/01/2024","48","125.89"
"11/01/2024","65","104.82"
"11/01/2024","70","120.44"
"11/01/2024","71","96.26"
"12/01/2024","3","114.82"
"12/01/2024","4","119.15"
"12/01/2024","7","124.79"
"12/01/2024","8","108.68"
"12/01/2024","11","110.95"
"12/01/2024","18","99.45"
"12/01/2024","20","113.33"
"12/01/2024","28","113.23"
"12/01/2024","34","137.36"
"12/01/2024","37","94.72"
"12/01/2024","39","130.94"
"12/01/2024","40","112.44"
"12/01/2024","41","121.08"
"12/01/2024","48","120.04"
"12/01/2024","60","108.46"
"12/01/2024","61","108.61"
"12/01/2024","65","103.22"
"12/01/2024","70","123.4"
"12/01/2024","71","98.23"
"13/01/2024","2","121.03"
"13/01/2024","3","78.96"
"13/01/2024","4","101.51"
"13/01/2024","6","122.38"
"13/01/2024","7","131.57"
"13/01/2024","8","107.79"
"13/01/2024","10","74.08"
"13/01/2024","11","101.7"
"13/01/2024","12","103.29"
"13/01/2024","13","119.42"
"13/01/2024","18","100.42"
"13/01/2024","19","116.17"
"13/01/2024","20","104.77"
"13/01/2024","28","91.02"
"13/01/2024","34","117.34"
"13/01/2024","35","137.85"
"13/01/2024","36","139.25"
"13/01/2024","37","83.87"
"13/01/2024","39","114.63"
"13/01/2024","40","100.55"
"13/01/2024","41","113.74"
"13/01/2024","48","102.44"
"13/01/2024","61","106.12"
"13/01/2024","65","103.54"
"13/01/2024","70","100.95"
"13/01/2024","71","97.13"
"15/01/2024","2","100.73"
"15/01/2024","3","110.25"
"15/01/2024","4","120.13"
"15/01/2024","7","127.54"
"15/01/2024","10","71.1"
"15/01/2024","11","132.22"
"15/01/2024","12","134.76"
"15/01/2024","13","136.42"
"15/01/2024","18","122.02"
"15/01/2024","19","123.48"
"15/01/2024","20","102.92"
"15/01/2024","28","115.65"
"15/01/2024","36","126.07"
"15/01/2024","37","99.57"
"15/01/2024","39","121.04"
"15/01/2024","40","128.1"
"15/01/2024","41","124.24"
"15/01/2024","60","119.55"
"15/01/2024","65","96.88"
"16/01/2024","3","92"
"16/01/2024","7","124.34"
"16/01/2024","10","87.31"
"16/01/2024","11","109.71"
"16/01/2024","12","124.83"
"16/01/2024","13","117.16"
"16/01/2024","18","112.88"
"16/01/2024","19","122.3"
"16/01/2024","20","125.03"
"16/01/2024","28","115.43"
"16/01/2024","37","114.33"
"16/01/2024","39","121.02"
"16/01/2024","40","103.93"
"16/01/2024","41","113.35"
"16/01/2024","60","124.73"
"16/01/2024","61","138.34"
"16/01/2024","65","103.51"
"16/01/2024","70","125.6"
"16/01/2024","71","132.4"
"17/01/2024","2","70.09"
"17/01/2024","3","69.73"
"17/01/2024","4","82.86"
"17/01/2024","6","115.37"
"17/01/2024","7","104.06"
"17/01/2024","8","111.58"
"17/01/2024","10","70.99"
"17/01/2024","11","88.56"
"17/01/2024","12","76.78"
"17/01/2024","13","114.67"
"17/01/2024","18","103.32"
"17/01/2024","19","85.81"
"17/01/2024","20","97.72"
"17/01/2024","21","67.46"
"17/01/2024","28","90.04"
"17/01/2024","34","119.81"
"17/01/2024","35","102.2"
"17/01/2024","36","126.39"
"17/01/2024","37","80.86"
"17/01/2024","39","102.11"
"17/01/2024","40","87.52"
"17/01/2024","41","80.77"
"17/01/2024","48","114.46"
"17/01/2024","60","124.2"
"17/01/2024","61","107.46"
"17/01/2024","65","74.21"
"17/01/2024","70","82.61"
"17/01/2024","71","101.6"
"18/01/2024","2","62.49"
"18/01/2024","3","69.51"
"18/01/2024","4","93.47"
"18/01/2024","6","128.35"
"18/01/2024","7","105.29"
"18/01/2024","8","108.86"
"18/01/2024","10","74.3"
"18/01/2024","11","86.35"
"18/01/2024","12","82.2"
"18/01/2024","13","107.21"
"18/01/2024","18","98.42"
"18/01/2024","19","95.25"
"18/01/2024","20","95.04"
"18/01/2024","28","73.79"
"18/01/2024","34","121.72"
"18/01/2024","35","108.52"
"18/01/2024","36","119.51"
"18/01/2024","37","77.08"
"18/01/2024","39","108.13"
"18/01/2024","40","89.08"
"18/01/2024","41","76.68"
"18/01/2024","48","97.4"
"18/01/2024","60","105.94"
"18/01/2024","61","94.82"
"18/01/2024","65","83.72"
"18/01/2024","70","87.97"
"18/01/2024","71","103.61"
"19/01/2024","2","69.38"
"19/01/2024","3","65.16"
"19/01/2024","4","85.38"
"19/01/2024","6","138.18"
"19/01/2024","7","99.66"
"19/01/2024","8","122.83"
"19/01/2024","10","71"
"19/01/2024","11","82.59"
"19/01/2024","12","85.81"
"19/01/2024","13","112.53"
"19/01/2024","18","103.71"
"19/01/2024","19","101.09"
"19/01/2024","20","93.16"
"19/01/2024","28","70.94"
"19/01/2024","34","112.91"
"19/01/2024","35","97.77"
"19/01/2024","36","114.8"
"19/01/2024","37","84.82"
"19/01/2024","39","113.78"
"19/01/2024","40","94.76"
"19/01/2024","41","96.03"
"19/01/2024","48","106.03"
"19/01/2024","60","103.55"
"19/01/2024","61","66.86"
"19/01/2024","65","78.46"
"19/01/2024","70","92.96"
"19/01/2024","71","105.65"
"20/01/2024","2","89.55"
"20/01/2024","3","98.74"
"20/01/2024","4","125.1"
"20/01/2024","8","136.42"
"20/01/2024","10","97.2"
"20/01/2024","11","113.13"
"20/01/2024","12","114.71"
"20/01/2024","18","134.91"
"20/01/2024","19","121.14"
"20/01/2024","20","127.93"
"20/01/2024","28","93.02"
"20/01/2024","34","123.49"
"20/01/2024","35","134.58"
"20/01/2024","37","113.49"
"20/01/2024","40","108.62"
"20/01/2024","41","138.22"
"20/01/2024","48","139.1"
"20/01/2024","60","137.29"
"20/01/2024","61","84.51"
"20/01/2024","65","108.28"
"20/01/2024","70","116.61"
"22/01/2024","2","76.15"
"22/01/2024","3","79.2"
"22/01/2024","4","107.52"
"22/01/2024","6","125.91"
"22/01/2024","7","105.31"
"22/01/2024","8","111.81"
"22/01/2024","10","73.75"
"22/01/2024","11","81.26"
"22/01/2024","12","93.46"
"22/01/2024","13","86.05"
"22/01/2024","18","117.52"
"22/01/2024","19","116.51"
"22/01/2024","20","96.85"
"22/01/2024","28","93.84"
"22/01/2024","34","88.39"
"22/01/2024","35","127.29"
"22/01/2024","36","118.99"
"22/01/2024","37","95.97"
"22/01/2024","39","112.26"
"22/01/2024","40","87.3"
"22/01/2024","41","109.92"
"22/01/2024","48","127.57"
"22/01/2024","60","89.28"
"22/01/2024","61","71.2"
"22/01/2024","65","88.41"
"22/01/2024","70","84.43"
"22/01/2024","71","97.87"
"23/01/2024","2","70.76"
"23/01/2024","3","78.51"
"23/01/2024","4","99.71"
"23/01/2024","6","128.26"
"23/01/2024","7","79.93"
"23/01/2024","8","101.57"
"23/01/2024","10","79.67"
"23/01/2024","11","85.8"
"23/01/2024","12","81.69"
"23/01/2024","18","96.36"
"23/01/2024","19","102.29"
"23/01/2024","20","92.24"
"23/01/2024","28","92.95"
"23/01/2024","34","102.01"
"23/01/2024","37","91.68"
"23/01/2024","39","97.9"
"23/01/2024","40","75.83"
"23/01/2024","41","104.57"
"23/01/2024","48","94.92"
"23/01/2024","60","112.32"
"23/01/2024","61","68.48"
"23/01/2024","65","81.85"
"23/01/2024","70","81.06"
"23/01/2024","71","99.03"
"24/01/2024","2","83.6"
"24/01/2024","3","90.74"
"24/01/2024","4","84.41"
"24/01/2024","6","92.67"
"24/01/2024","7","96.11"
"24/01/2024","8","120.6"
"24/01/2024","10","89.08"
"24/01/2024","11","88.33"
"24/01/2024","12","78.1"
"24/01/2024","13","73.02"
"24/01/2024","18","96.32"
"24/01/2024","19","109.8"
"24/01/2024","20","93.19"
"24/01/2024","28","101.87"
"24/01/2024","34","90.66"
"24/01/2024","35","136.92"
"24/01/2024","36","117.89"
"24/01/2024","37","98.72"
"24/01/2024","39","115.79"
"24/01/2024","40","86.43"
"24/01/2024","41","64.46"
"24/01/2024","48","99.61"
"24/01/2024","61","79.85"
"24/01/2024","65","82.62"
"24/01/2024","70","97.82"
"24/01/2024","71","118.1"
"25/01/2024","2","85.76"
"25/01/2024","3","90.93"
"25/01/2024","4","108.57"
"25/01/2024","6","104.07"
"25/01/2024","7","100.32"
"25/01/2024","8","92.78"
"25/01/2024","10","75.59"
"25/01/2024","11","96"
"25/01/2024","12","73.27"
"25/01/2024","13","73.54"
"25/01/2024","18","88.45"
"25/01/2024","19","118.8"
"25/01/2024","20","119.63"
"25/01/2024","28","111.78"
"25/01/2024","34","107.56"
"25/01/2024","36","137.28"
"25/01/2024","37","99.99"
"25/01/2024","39","103.78"
"25/01/2024","40","98.77"
"25/01/2024","41","81.09"
"25/01/2024","48","74.87"
"25/01/2024","60","104.26"
"25/01/2024","61","80.55"
"25/01/2024","65","77.85"
"25/01/2024","70","99.99"
"25/01/2024","71","113.46"
"26/01/2024","4","63.09"
"26/01/2024","6","74.09"
"26/01/2024","7","70.75"
"26/01/2024","11","66.71"
"26/01/2024","18","91.55"
"26/01/2024","19","110.92"
"26/01/2024","20","111.57"
"26/01/2024","28","92.86"
"26/01/2024","34","89.87"
"26/01/2024","35","115.6"
"26/01/2024","36","135.31"
"26/01/2024","37","96.11"
"26/01/2024","39","121.53"
"26/01/2024","40","85.04"
"26/01/2024","45","81.77"
"26/01/2024","60","62.88"
"26/01/2024","65","83.46"
"26/01/2024","70","61"
"26/01/2024","71","77.35"
"27/01/2024","2","91.6"
"27/01/2024","3","93.99"
"27/01/2024","4","90.33"
"27/01/2024","6","106.21"
"27/01/2024","7","94.93"
"27/01/2024","8","70.74"
"27/01/2024","10","74.81"
"27/01/2024","11","86.32"
"27/01/2024","12","70.9"
"27/01/2024","13","72.61"
"27/01/2024","18","93.44"
"27/01/2024","19","97.11"
"27/01/2024","20","102.04"
"27/01/2024","28","93.74"
"27/01/2024","34","88.18"
"27/01/2024","35","115.74"
"27/01/2024","36","118.21"
"27/01/2024","37","99.05"
"27/01/2024","39","106.75"
"27/01/2024","40","95.24"
"27/01/2024","41","74.53"
"27/01/2024","48","77.65"
"27/01/2024","60","76.88"
"27/01/2024","61","68.13"
"27/01/2024","65","78.17"
"27/01/2024","70","87.44"
"27/01/2024","71","105.66"
"28/01/2024","2","85.72"
"28/01/2024","3","79.07"
"28/01/2024","10","78.97"
"28/01/2024","13","74.08"
"28/01/2024","70","98.1"
"29/01/2024","2","88.82"
"29/01/2024","3","96.32"
"29/01/2024","4","107.65"
"29/01/2024","6","125.95"
"29/01/2024","7","111.94"
"29/01/2024","8","82.93"
"29/01/2024","10","87.51"
"29/01/2024","11","95.37"
"29/01/2024","12","80.45"
"29/01/2024","13","90.66"
"29/01/2024","18","102.29"
"29/01/2024","19","105.09"
"29/01/2024","20","96.26"
"29/01/2024","28","114.51"
"29/01/2024","34","99.97"
"29/01/2024","35","131"
"29/01/2024","37","114.93"
"29/01/2024","39","115.52"
"29/01/2024","40","123.67"
"29/01/2024","41","82.32"
"29/01/2024","48","75.99"
"29/01/2024","60","97.87"
"29/01/2024","61","85.07"
"29/01/2024","65","93.84"
"29/01/2024","70","104.29"
"29/01/2024","71","110.07"
"30/01/2024","2","81.13"
"30/01/2024","3","84.46"
"30/01/2024","4","108.38"
"30/01/2024","6","99.33"
"30/01/2024","7","94.52"
"30/01/2024","8","76.42"
"30/01/2024","10","80.88"
"30/01/2024","11","92.8"
"30/01/2024","12","87.63"
"30/01/2024","13","90.53"
"30/01/2024","18","96.58"
"30/01/2024","19","87.23"
"30/01/2024","20","93.91"
"30/01/2024","28","89.77"
"30/01/2024","34","88.14"
"30/01/2024","35","131.62"
"30/01/2024","36","138.5"
"30/01/2024","37","92.33"
"30/01/2024","39","111.97"
"30/01/2024","40","105.47"
"30/01/2024","41","76.15"
"30/01/2024","48","65.48"
"30/01/2024","60","105.67"
"30/01/2024","61","76.5"
"30/01/2024","65","91.66"
"30/01/2024","70","98.01"
"30/01/2024","71","107.75"
"31/01/2024","2","88.74"
"31/01/2024","3","97.98"
"31/01/2024","4","109.24"
"31/01/2024","6","104.69"
"31/01/2024","7","118.61"
"31/01/2024","8","86.61"
"31/01/2024","10","66.05"
"31/01/2024","11","92.25"
"31/01/2024","12","87.65"
"31/01/2024","13","85.31"
"31/01/2024","18","101.75"
"31/01/2024","19","100.47"
"31/01/2024","20","93.12"
"31/01/2024","28","101.35"
"31/01/2024","34","98.84"
"31/01/2024","35","126.42"
"31/01/2024","37","100.67"
"31/01/2024","39","116.87"
"31/01/2024","40","86.61"
"31/01/2024","41","88.35"
"31/01/2024","48","78.21"
"31/01/2024","60","87.41"
"31/01/2024","61","86.08"
"31/01/2024","65","92.56"
"31/01/2024","70","111.43"
"31/01/2024","71","113.57"
"01/02/2024","2","87.33"
"01/02/2024","3","93.29"
"01/02/2024","4","76.29"
"01/02/2024","6","109.04"
"01/02/2024","7","118.23"
"01/02/2024","8","77.19"
"01/02/2024","10","63.53"
"01/02/2024","11","95.14"
"01/02/2024","12","80.93"
"01/02/2024","13","87.18"
"01/02/2024","18","90.58"
"01/02/2024","19","83.63"
"01/02/2024","20","89.59"
"01/02/2024","28","93.18"
"01/02/2024","34","89.38"
"01/02/2024","36","125.36"
"01/02/2024","37","88.11"
"01/02/2024","39","123.9"
"01/02/2024","40","61.09"
"01/02/2024","41","74.66"
"01/02/2024","48","73.21"
"01/02/2024","60","126.21"
"01/02/2024","61","84.28"
"01/02/2024","65","98.84"
"01/02/2024","70","104.42"
"01/02/2024","71","102.81"
"02/02/2024","2","92.15"
"02/02/2024","3","87.12"
"02/02/2024","4","81.87"
"02/02/2024","6","114.78"
"02/02/2024","7","91.01"
"02/02/2024","8","75.58"
"02/02/2024","10","63.49"
"02/02/2024","11","92.44"
"02/02/2024","12","75.3"
"02/02/2024","13","76.12"
"02/02/2024","18","105.34"
"02/02/2024","19","85.77"
"02/02/2024","20","87.07"
"02/02/2024","28","103.8"
"02/02/2024","34","88.44"
"02/02/2024","35","116.92"
"02/02/2024","36","124.91"
"02/02/2024","37","99.22"
"02/02/2024","39","124.86"
"02/02/2024","41","74.07"
"02/02/2024","48","71.15"
"02/02/2024","60","100.25"
"02/02/2024","61","101.12"
"02/02/2024","65","99.25"
"02/02/2024","70","104.98"
"02/02/2024","71","80.4"
"03/02/2024","2","109.7"
"03/02/2024","3","92.72"
"03/02/2024","4","91.4"
"03/02/2024","6","114.16"
"03/02/2024","7","103.25"
"03/02/2024","8","82.5"
"03/02/2024","10","71.68"
"03/02/2024","11","97.59"
"03/02/2024","12","79.3"
"03/02/2024","13","86.63"
"03/02/2024","18","111.21"
"03/02/2024","19","90.23"
"03/02/2024","20","99.74"
"03/02/2024","28","93.24"
"03/02/2024","34","100.92"
"03/02/2024","35","102.88"
"03/02/2024","36","129.11"
"03/02/2024","37","95.59"
"03/02/2024","39","135.09"
"03/02/2024","40","64.8"
"03/02/2024","41","71.39"
"03/02/2024","48","69.08"
"03/02/2024","60","94.24"
"03/02/2024","61","98.31"
"03/02/2024","65","106.53"
"03/02/2024","70","107.99"
"03/02/2024","71","87.9"
"05/02/2024","2","92.85"
"05/02/2024","3","91.29"
"05/02/2024","4","106.52"
"05/02/2024","6","109.91"
"05/02/2024","7","92.68"
"05/02/2024","8","83.42"
"05/02/2024","10","68.68"
"05/02/2024","11","86.38"
"05/02/2024","12","86.75"
"05/02/2024","13","91.33"
"05/02/2024","18","95.65"
"05/02/2024","19","92.33"
"05/02/2024","20","106.8"
"05/02/2024","28","83.97"
"05/02/2024","34","94.23"
"05/02/2024","35","137.68"
"05/02/2024","36","126.62"
"05/02/2024","37","88.18"
"05/02/2024","39","128.03"
"05/02/2024","40","74.59"
"05/02/2024","41","68.17"
"05/02/2024","48","83.87"
"05/02/2024","60","105.7"
"05/02/2024","61","91.91"
"05/02/2024","65","100.88"
"05/02/2024","70","98.14"
"05/02/2024","71","89.65"
"06/02/2024","2","93.53"
"06/02/2024","3","95.76"
"06/02/2024","4","100.3"
"06/02/2024","6","124.62"
"06/02/2024","7","96.85"
"06/02/2024","8","81.79"
"06/02/2024","10","76.87"
"06/02/2024","11","94.53"
"06/02/2024","12","112.74"
"06/02/2024","13","92.68"
"06/02/2024","18","90.13"
"06/02/2024","19","88.6"
"06/02/2024","20","94.89"
"06/02/2024","28","82.6"
"06/02/2024","34","93.04"
"06/02/2024","35","130.89"
"06/02/2024","36","125.89"
"06/02/2024","37","80.7"
"06/02/2024","39","118.99"
"06/02/2024","40","72.16"
"06/02/2024","41","67.51"
"06/02/2024","48","86.59"
"06/02/2024","60","93.32"
"06/02/2024","61","93.5"
"06/02/2024","65","84.25"
"06/02/2024","70","101.98"
"06/02/2024","71","95.96"
"07/02/2024","2","91.12"
"07/02/2024","3","84.82"
"07/02/2024","4","87.78"
"07/02/2024","6","114.64"
"07/02/2024","7","97.73"
"07/02/2024","8","80.78"
"07/02/2024","10","72.49"
"07/02/2024","11","84.12"
"07/02/2024","12","104.57"
"07/02/2024","13","90.93"
"07/02/2024","18","83.4"
"07/02/2024","19","83.17"
"07/02/2024","20","99.98"
"07/02/2024","28","75.9"
"07/02/2024","34","92.13"
"07/02/2024","35","139.52"
"07/02/2024","36","139.9"
"07/02/2024","37","79.3"
"07/02/2024","39","108.6"
"07/02/2024","40","72.77"
"07/02/2024","41","70.98"
"07/02/2024","48","93.53"
"07/02/2024","60","109.09"
"07/02/2024","61","96.7"
"07/02/2024","65","83.04"
"07/02/2024","70","108.39"
"07/02/2024","71","91.63"
"08/02/2024","2","98.9"
"08/02/2024","3","88.92"
"08/02/2024","4","97.62"
"08/02/2024","6","117.36"
"08/02/2024","7","111.54"
"08/02/2024","8","79.2"
"08/02/2024","10","87.55"
"08/02/2024","11","91.52"
"08/02/2024","12","99.58"
"08/02/2024","13","86.29"
"08/02/2024","18","92.47"
"08/02/2024","19","94.22"
"08/02/2024","20","107.2"
"08/02/2024","28","83.32"
"08/02/2024","34","115.15"
"08/02/2024","36","139.01"
"08/02/2024","37","89.41"
"08/02/2024","39","122.98"
"08/02/2024","40","72.34"
"08/02/2024","41","73.38"
"08/02/2024","48","94.89"
"08/02/2024","60","104.27"
"08/02/2024","61","98.43"
"08/02/2024","65","86.92"
"08/02/2024","70","106.26"
"08/02/2024","71","101.92"
"09/02/2024","2","94.37"
"09/02/2024","3","99.66"
"09/02/2024","4","90.85"
"09/02/2024","6","98.64"
"09/02/2024","7","90.38"
"09/02/2024","8","71.08"
"09/02/2024","10","81.31"
"09/02/2024","11","82.91"
"09/02/2024","12","88.34"
"09/02/2024","13","69.1"
"09/02/2024","18","87.57"
"09/02/2024","19","89.56"
"09/02/2024","20","97.68"
"09/02/2024","21","73.26"
"09/02/2024","28","84.88"
"09/02/2024","34","91.24"
"09/02/2024","35","129.6"
"09/02/2024","36","132.55"
"09/02/2024","37","76.39"
"09/02/2024","39","109.55"
"09/02/2024","40","70.45"
"09/02/2024","41","69.47"
"09/02/2024","48","89.32"
"09/02/2024","60","99.64"
"09/02/2024","61","80.47"
"09/02/2024","65","79.93"
"09/02/2024","70","101"
"09/02/2024","71","96.11"
"10/02/2024","3","132.22"
"10/02/2024","4","104.8"
"10/02/2024","6","134.33"
"10/02/2024","7","83.61"
"10/02/2024","8","125.44"
"10/02/2024","10","120.48"
"10/02/2024","11","109.3"
"10/02/2024","12","124.83"
"10/02/2024","13","87.5"
"10/02/2024","18","118.67"
"10/02/2024","20","113.52"
"10/02/2024","28","119.85"
"10/02/2024","34","106.7"
"10/02/2024","37","94.5"
"10/02/2024","40","73.55"
"10/02/2024","41","91.11"
"10/02/2024","48","134.96"
"10/02/2024","60","114.66"
"10/02/2024","61","133.6"
"10/02/2024","65","96.38"
"10/02/2024","70","132.48"
"12/02/2024","2","64.31"
"12/02/2024","4","115.09"
"12/02/2024","6","74.8"
"12/02/2024","7","87.92"
"12/02/2024","8","75.52"
"12/02/2024","10","128.8"
"12/02/2024","11","104.17"
"12/02/2024","12","137.15"
"12/02/2024","13","104.05"
"12/02/2024","18","81.54"
"12/02/2024","19","84.69"
"12/02/2024","20","83.94"
"12/02/2024","28","81.61"
"12/02/2024","34","88.13"
"12/02/2024","35","133.11"
"12/02/2024","36","123.75"
"12/02/2024","37","67.19"
"12/02/2024","39","117.77"
"12/02/2024","40","84.38"
"12/02/2024","41","84.29"
"12/02/2024","48","84.98"
"12/02/2024","60","72.95"
"12/02/2024","61","60.84"
"12/02/2024","65","85.94"
"12/02/2024","70","83.73"
"12/02/2024","71","67.53"
"13/02/2024","2","117.54"
"13/02/2024","3","118.74"
"13/02/2024","4","125.5"
"13/02/2024","7","109.46"
"13/02/2024","8","132.1"
"13/02/2024","10","119.14"
"13/02/2024","11","139.63"
"13/02/2024","13","104.95"
"13/02/2024","18","112.36"
"13/02/2024","19","118.46"
"13/02/2024","20","107.95"
"13/02/2024","28","98.06"
"13/02/2024","34","113.64"
"13/02/2024","35","138.76"
"13/02/2024","37","89.73"
"13/02/2024","40","110.65"
"13/02/2024","41","87.9"
"13/02/2024","60","115.18"
"13/02/2024","65","106.46"
"13/02/2024","71","135.27"
"14/02/2024","2","93.13"
"14/02/2024","3","85.45"
"14/02/2024","4","118.42"
"14/02/2024","6","99.69"
"14/02/2024","7","97.98"
"14/02/2024","8","96.98"
"14/02/2024","10","95.47"
"14/02/2024","11","115.55"
"14/02/2024","12","103.43"
"14/02/2024","13","87.67"
"14/02/2024","18","88.4"
"14/02/2024","19","99.06"
"14/02/2024","20","90.27"
"14/02/2024","28","79.83"
"14/02/2024","34","98.49"
"14/02/2024","35","123.14"
"14/02/2024","36","106.03"
"14/02/2024","37","69.98"
"14/02/2024","39","91.49"
"14/02/2024","40","85.86"
"14/02/2024","41","83.66"
