"FECHA","LINEA","TCODICLIE","PRENDAS"
"06/01/2024","37","4003","716"
"06/01/2024","98","234","192"
"06/01/2024","45","266","465"
"06/01/2024","34","234","2182"
"06/01/2024","70","234","168"
"06/01/2024","98","2","737"
"06/01/2024","10","2","720"
"06/01/2024","3","2","338"
"06/01/2024","4","266","1001"
"06/01/2024","35","2","631"
"06/01/2024","71","2","277"
"06/01/2024","6","266","1091"
"06/01/2024","48","266","330"
"06/01/2024","28","4003","574"
"06/01/2024","41","266","639"
"06/01/2024","11","266","380"
"06/01/2024","19","1","672"
"06/01/2024","8","266","403"
"06/01/2024","36","2","1306"
"06/01/2024","27","266","450"
"06/01/2024","70","2","238"
"06/01/2024","19","266","169"
"06/01/2024","2","266","1823"
"06/01/2024","13","2","342"
"06/01/2024","18","4003","939"
"06/01/2024","44","266","509"
"06/01/2024","39","2","379"
"06/01/2024","12","266","650"
"07/01/2024","36","2","168"
"07/01/2024","16","266","365"
"07/01/2024","61","266","365"
"07/01/2024","4","266","940"
"07/01/2024","34","234","1292"
"07/01/2024","39","2","540"
"07/01/2024","3","2","21"
"07/01/2024","8","266","424"
"07/01/2024","19","1","271"
"07/01/2024","6","266","751"
"07/01/2024","48","266","327"
"07/01/2024","20","2","184"
"07/01/2024","98","234","520"
"07/01/2024","98","2","969"
"07/01/2024","35","2","148"
"07/01/2024","19","266","352"
"07/01/2024","27","266","380"
"07/01/2024","13","2","62"
"07/01/2024","2","266","2751"
"07/01/2024","20","1","40"
"07/01/2024","44","266","713"
"07/01/2024","41","266","216"
"07/01/2024","45","266","340"
"07/01/2024","40","266","636"
"07/01/2024","12","266","523"
"08/01/2024","98","234","1149"
"08/01/2024","27","266","331"
"08/01/2024","7","234","1300"
"08/01/2024","2","266","979"
"08/01/2024","19","266","417"
"08/01/2024","41","266","927"
"08/01/2024","34","234","894"
"08/01/2024","71","2","187"
"08/01/2024","6","266","932"
"08/01/2024","13","2","320"
"08/01/2024","8","266","464"
"08/01/2024","18","4003","1406"
"08/01/2024","44","266","692"
"08/01/2024","39","2","423"
"08/01/2024","48","266","815"
"08/01/2024","28","4003","1432"
"08/01/2024","65","2","66"
"08/01/2024","61","266","466"
"08/01/2024","98","2","149"
"08/01/2024","70","234","532"
"08/01/2024","4","266","564"
"08/01/2024","37","4003","215"
"08/01/2024","16","266","312"
"08/01/2024","10","2","505"
"08/01/2024","35","2","69"
"08/01/2024","40","266","512"
"08/01/2024","45","266","339"
"08/01/2024","3","2","68"
"08/01/2024","20","1","39"
"09/01/2024","19","266","632"
"09/01/2024","28","1","289"
"09/01/2024","20","1","770"
"09/01/2024","19","1","113"
"09/01/2024","71","2","153"
"09/01/2024","44","266","877"
"09/01/2024","70","2","151"
"09/01/2024","16","266","381"
"09/01/2024","40","266","1443"
"09/01/2024","37","1","142"
"09/01/2024","65","2","695"
"09/01/2024","48","266","809"
"09/01/2024","6","266","821"
"09/01/2024","4","266","351"
"09/01/2024","41","266","1018"
"09/01/2024","98","234","1288"
"09/01/2024","61","2","2"
"09/01/2024","20","2","214"
"09/01/2024","2","266","1130"
"09/01/2024","35","2","1477"
"09/01/2024","39","2","2834"
"09/01/2024","8","266","642"
"09/01/2024","98","2","757"
"09/01/2024","18","2","65"
"09/01/2024","10","2","311"
"09/01/2024","13","2","219"
"09/01/2024","3","2","267"
"09/01/2024","34","234","3163"
"09/01/2024","36","2","536"
"09/01/2024","70","234","502"
"09/01/2024","61","266","803"
"09/01/2024","7","234","1438"
"09/01/2024","27","266","612"
"09/01/2024","45","266","410"
"10/01/2024","6","266","1126"
"10/01/2024","20","1","233"
"10/01/2024","20","2","27"
"10/01/2024","11","2","344"
"10/01/2024","48","266","1020"
"10/01/2024","28","1","303"
"10/01/2024","27","266","774"
"10/01/2024","40","266","1969"
"10/01/2024","8","266","922"
"10/01/2024","34","234","2242"
"10/01/2024","16","266","711"
"10/01/2024","71","2","95"
"10/01/2024","44","266","870"
"10/01/2024","36","2","1614"
"10/01/2024","45","266","567"
"10/01/2024","18","2","378"
"10/01/2024","35","2","1284"
"10/01/2024","2","266","945"
"10/01/2024","98","234","275"
"10/01/2024","71","234","800"
"10/01/2024","41","266","953"
"10/01/2024","13","2","26"
"10/01/2024","3","2","418"
"10/01/2024","12","266","1160"
"10/01/2024","19","1","219"
"10/01/2024","70","234","448"
"10/01/2024","37","1","36"
"10/01/2024","39","2","1391"
"10/01/2024","61","266","613"
"10/01/2024","65","2","169"
"10/01/2024","10","2","495"
"10/01/2024","4","266","881"
"10/01/2024","98","2","873"
"10/01/2024","70","2","513"
"10/01/2024","19","266","784"
"10/01/2024","7","234","1282"
"11/01/2024","61","266","891"
"11/01/2024","3","2","33"
"11/01/2024","8","266","809"
"11/01/2024","19","1","887"
"11/01/2024","70","2","482"
"11/01/2024","4","266","3923"
"11/01/2024","98","2","128"
"11/01/2024","65","2","523"
"11/01/2024","20","1","522"
"11/01/2024","41","266","1125"
"11/01/2024","6","266","276"
"11/01/2024","40","266","1126"
"11/01/2024","12","266","2602"
"11/01/2024","13","2","99"
"11/01/2024","7","234","1512"
"11/01/2024","35","2","1113"
"11/01/2024","71","2","202"
"11/01/2024","19","266","21"
"11/01/2024","36","2","2282"
"11/01/2024","48","266","1087"
"11/01/2024","2","266","636"
"11/01/2024","34","234","2433"
"11/01/2024","11","2","92"
"11/01/2024","45","266","298"
"11/01/2024","71","234","374"
"11/01/2024","37","1","514"
"11/01/2024","27","266","575"
"11/01/2024","39","2","1466"
"11/01/2024","28","1","374"
"11/01/2024","98","234","339"
"12/01/2024","19","1","625"
"12/01/2024","12","266","343"
"12/01/2024","65","2","374"
"12/01/2024","40","266","1054"
"12/01/2024","11","2","848"
"12/01/2024","61","2","18"
"12/01/2024","36","2","1714"
"12/01/2024","39","2","1086"
"12/01/2024","98","2","523"
"12/01/2024","70","234","312"
"12/01/2024","20","1","811"
"12/01/2024","70","2","412"
"12/01/2024","7","234","4410"
"12/01/2024","18","1","147"
"12/01/2024","35","2","1299"
"12/01/2024","28","1","203"
"12/01/2024","3","2","736"
"12/01/2024","6","266","533"
"12/01/2024","16","266","403"
"12/01/2024","41","266","282"
"12/01/2024","34","234","1652"
"12/01/2024","37","1","559"
"12/01/2024","13","2","912"
"12/01/2024","71","2","125"
"12/01/2024","44","266","859"
"12/01/2024","27","266","394"
"12/01/2024","2","266","2048"
"12/01/2024","98","234","2566"
"12/01/2024","48","266","76"
"12/01/2024","45","266","346"
"12/01/2024","8","266","107"
"12/01/2024","10","2","1405"
"13/01/2024","70","234","39"
"13/01/2024","39","2","954"
"13/01/2024","70","2","387"
"13/01/2024","39","234","30"
"13/01/2024","12","266","1117"
"13/01/2024","20","1","584"
"13/01/2024","7","234","524"
"13/01/2024","4","266","556"
"13/01/2024","98","2","377"
"13/01/2024","45","266","304"
"13/01/2024","6","266","831"
"13/01/2024","2","266","823"
"13/01/2024","98","234","1316"
"13/01/2024","8","266","219"
"13/01/2024","3","2","395"
"13/01/2024","61","2","223"
"13/01/2024","71","2","176"
"13/01/2024","19","1","506"
"13/01/2024","34","234","1577"
"13/01/2024","65","2","251"
"13/01/2024","37","1","327"
"13/01/2024","48","266","552"
"13/01/2024","36","2","1151"
"13/01/2024","35","2","727"
"13/01/2024","10","2","439"
"13/01/2024","11","2","438"
"13/01/2024","18","266","50"
"13/01/2024","40","266","187"
"13/01/2024","28","1","259"
"13/01/2024","13","2","406"
"13/01/2024","16","266","853"
"13/01/2024","27","266","278"
"13/01/2024","44","266","942"
"15/01/2024","19","1","402"
"15/01/2024","71","2","252"
"15/01/2024","39","2","480"
"15/01/2024","7","234","2057"
"15/01/2024","18","266","476"
"15/01/2024","65","2","169"
"15/01/2024","41","266","893"
"15/01/2024","36","2","1119"
"15/01/2024","98","234","2384"
"15/01/2024","37","1","513"
"15/01/2024","98","2","519"
"15/01/2024","16","266","377"
"15/01/2024","44","266","109"
"15/01/2024","13","2","448"
"15/01/2024","8","266","480"
"15/01/2024","12","266","370"
"15/01/2024","2","266","870"
"15/01/2024","20","1","500"
"15/01/2024","70","2","26"
"15/01/2024","39","234","544"
"15/01/2024","27","266","250"
"15/01/2024","35","2","924"
"15/01/2024","34","234","3297"
"15/01/2024","61","2","189"
"15/01/2024","70","234","312"
"15/01/2024","4","266","710"
"15/01/2024","6","266","656"
"15/01/2024","11","2","479"
"15/01/2024","40","266","497"
"15/01/2024","18","1","49"
"15/01/2024","48","266","428"
"15/01/2024","28","1","388"
"15/01/2024","45","266","293"
"15/01/2024","3","2","172"
"16/01/2024","19","1","1118"
"16/01/2024","4","266","382"
"16/01/2024","19","266","11"
"16/01/2024","40","266","931"
"16/01/2024","70","234","771"
"16/01/2024","65","2","385"
"16/01/2024","39","2","827"
"16/01/2024","12","266","387"
"16/01/2024","48","266","638"
"16/01/2024","13","2","390"
"16/01/2024","3","2","138"
"16/01/2024","16","266","857"
"16/01/2024","71","2","213"
"16/01/2024","10","234","193"
"16/01/2024","35","2","1061"
"16/01/2024","98","234","1820"
"16/01/2024","41","266","781"
"16/01/2024","4","2","671"
"16/01/2024","6","266","606"
"16/01/2024","20","1","363"
"16/01/2024","10","2","620"
"16/01/2024","70","2","64"
"16/01/2024","36","2","1355"
"16/01/2024","8","266","309"
"16/01/2024","98","2","328"
"16/01/2024","2","266","670"
"16/01/2024","27","266","319"
"16/01/2024","11","2","1208"
"16/01/2024","45","266","495"
"16/01/2024","34","234","925"
"16/01/2024","61","2","276"
"16/01/2024","7","234","1715"
"16/01/2024","28","1","606"
"16/01/2024","37","1","868"
"16/01/2024","18","1","770"
"16/01/2024","39","234","282"
"17/01/2024","39","2","511"
"17/01/2024","40","266","464"
"17/01/2024","18","1","226"
"17/01/2024","2","266","86"
"17/01/2024","35","2","1415"
"17/01/2024","36","2","2139"
"17/01/2024","20","2","229"
"17/01/2024","98","2","1441"
"17/01/2024","12","266","496"
"17/01/2024","3","2","207"
"17/01/2024","70","234","259"
"17/01/2024","28","1","758"
"17/01/2024","8","266","531"
"17/01/2024","10","234","236"
"17/01/2024","44","266","868"
"17/01/2024","11","2","765"
"17/01/2024","34","234","1672"
"17/01/2024","16","266","596"
"17/01/2024","98","234","1532"
"17/01/2024","10","2","49"
"17/01/2024","71","2","68"
"17/01/2024","65","2","540"
"17/01/2024","39","234","463"
"17/01/2024","41","266","921"
"17/01/2024","27","266","332"
"17/01/2024","48","266","935"
"17/01/2024","61","2","175"
"17/01/2024","4","2","531"
"17/01/2024","13","2","128"
"17/01/2024","19","1","32"
"17/01/2024","7","234","1147"
"17/01/2024","6","266","1069"
"17/01/2024","19","266","607"
"17/01/2024","45","266","480"
"18/01/2024","40","266","44"
"18/01/2024","2","266","164"
"18/01/2024","6","266","626"
"18/01/2024","7","234","884"
"18/01/2024","44","266","940"
"18/01/2024","13","2","109"
"18/01/2024","10","266","49"
"18/01/2024","98","2","140"
"18/01/2024","41","266","322"
"18/01/2024","98","234","1308"
"18/01/2024","35","2","661"
"18/01/2024","11","2","675"
"18/01/2024","45","266","333"
"18/01/2024","61","266","18"
"18/01/2024","65","2","814"
"18/01/2024","34","234","1708"
"18/01/2024","39","234","585"
"18/01/2024","28","1","434"
"18/01/2024","61","2","743"
"18/01/2024","12","266","1509"
"18/01/2024","20","2","309"
"18/01/2024","8","266","704"
"18/01/2024","4","2","1597"
"18/01/2024","39","2","871"
"18/01/2024","27","266","350"
"18/01/2024","16","266","656"
"18/01/2024","48","266","416"
"18/01/2024","10","234","106"
"18/01/2024","71","2","514"
"18/01/2024","70","2","187"
"18/01/2024","3","2","244"
"18/01/2024","36","2","1995"
"18/01/2024","70","234","170"
"19/01/2024","35","2","219"
"19/01/2024","41","266","337"
"19/01/2024","27","266","305"
"19/01/2024","3","2","112"
"19/01/2024","37","2","314"
"19/01/2024","13","2","383"
"19/01/2024","18","2","354"
"19/01/2024","48","266","491"
"19/01/2024","11","2","717"
"19/01/2024","4","2","1000"
"19/01/2024","19","266","484"
"19/01/2024","71","2","277"
"19/01/2024","28","1","575"
"19/01/2024","65","2","308"
"19/01/2024","8","266","691"
"19/01/2024","16","266","485"
"19/01/2024","44","266","745"
"19/01/2024","20","2","158"
"19/01/2024","40","266","197"
"19/01/2024","45","266","488"
"19/01/2024","12","266","672"
"19/01/2024","98","2","192"
"19/01/2024","20","1","16"
"19/01/2024","36","2","1494"
"19/01/2024","39","234","1045"
"19/01/2024","70","2","48"
"19/01/2024","37","1","22"
"19/01/2024","61","2","153"
"19/01/2024","6","266","713"
"19/01/2024","39","2","191"
"19/01/2024","34","234","722"
"19/01/2024","7","234","940"
"19/01/2024","98","234","1066"
"20/01/2024","11","2","441"
"20/01/2024","3","2","71"
"20/01/2024","12","266","266"
"20/01/2024","36","2","944"
"20/01/2024","45","266","308"
"20/01/2024","8","266","481"
"20/01/2024","98","234","2561"
"20/01/2024","65","2","392"
"20/01/2024","98","2","4"
"20/01/2024","39","2","107"
"20/01/2024","28","1","229"
"20/01/2024","39","234","628"
"20/01/2024","34","234","1366"
"20/01/2024","35","2","119"
"20/01/2024","16","266","317"
"20/01/2024","41","266","393"
"20/01/2024","61","2","175"
"20/01/2024","20","2","184"
"20/01/2024","19","266","284"
"20/01/2024","13","2","43"
"20/01/2024","7","234","462"
"20/01/2024","37","2","44"
"20/01/2024","40","266","521"
"20/01/2024","4","2","112"
"20/01/2024","70","2","284"
"20/01/2024","71","2","290"
"20/01/2024","44","266","206"
"20/01/2024","6","266","606"
"20/01/2024","18","2","579"
"20/01/2024","48","266","465"
"20/01/2024","27","266","290"
"22/01/2024","34","234","2572"
"22/01/2024","45","266","319"
"22/01/2024","27","266","363"
"22/01/2024","18","2","473"
"22/01/2024","10","234","48"
"22/01/2024","70","2","259"
"22/01/2024","7","2","189"
"22/01/2024","48","266","383"
"22/01/2024","7","234","1610"
"22/01/2024","41","266","540"
"22/01/2024","39","234","750"
"22/01/2024","36","2","639"
"22/01/2024","6","266","598"
"22/01/2024","65","2","375"
"22/01/2024","98","2","6"
"22/01/2024","40","266","713"
"22/01/2024","3","2","125"
"22/01/2024","44","2","303"
"22/01/2024","35","2","344"
"22/01/2024","20","2","281"
"22/01/2024","37","2","290"
"22/01/2024","19","266","409"
"22/01/2024","98","234","1309"
"22/01/2024","13","2","130"
"22/01/2024","11","2","684"
"22/01/2024","71","2","178"
"22/01/2024","34","2","61"
"22/01/2024","39","2","440"
"22/01/2024","8","266","482"
"22/01/2024","70","234","960"
"22/01/2024","28","1","155"
"23/01/2024","37","2","124"
"23/01/2024","34","234","800"
"23/01/2024","70","234","247"
"23/01/2024","40","266","835"
"23/01/2024","20","1","151"
"23/01/2024","12","266","74"
"23/01/2024","35","2","706"
"23/01/2024","39","234","394"
"23/01/2024","7","234","1300"
"23/01/2024","65","2","525"
"23/01/2024","28","1","26"
"23/01/2024","70","2","323"
"23/01/2024","71","2","202"
"23/01/2024","27","266","361"
"23/01/2024","36","2","1611"
"23/01/2024","8","266","995"
"23/01/2024","19","266","517"
"23/01/2024","16","266","688"
"23/01/2024","18","2","383"
"23/01/2024","7","2","464"
"23/01/2024","39","2","698"
"23/01/2024","61","2","208"
"23/01/2024","6","266","1311"
"23/01/2024","44","2","486"
"23/01/2024","41","266","555"
"23/01/2024","98","234","1709"
"23/01/2024","13","2","348"
"23/01/2024","45","266","548"
"23/01/2024","11","2","634"
"23/01/2024","20","2","353"
"23/01/2024","4","2","1028"
"23/01/2024","48","266","972"
"24/01/2024","48","266","595"
"24/01/2024","19","1","147"
"24/01/2024","18","2","972"
"24/01/2024","16","266","805"
"24/01/2024","45","266","358"
"24/01/2024","98","2","111"
"24/01/2024","6","266","363"
"24/01/2024","34","234","1298"
"24/01/2024","35","2","1626"
"24/01/2024","28","1","52"
"24/01/2024","11","2","801"
"24/01/2024","20","2","107"
"24/01/2024","41","266","289"
"24/01/2024","4","2","1011"
"24/01/2024","71","2","179"
"24/01/2024","70","2","261"
"24/01/2024","7","234","1242"
"24/01/2024","70","234","406"
"24/01/2024","28","4003","87"
"24/01/2024","8","266","455"
"24/01/2024","98","234","2067"
"24/01/2024","3","2","130"
"24/01/2024","37","2","537"
"24/01/2024","39","2","477"
"24/01/2024","40","266","587"
"24/01/2024","44","2","889"
"24/01/2024","39","234","1103"
"24/01/2024","2","266","490"
"24/01/2024","36","2","1334"
"24/01/2024","65","2","265"
"24/01/2024","20","1","367"
"24/01/2024","12","266","890"
"24/01/2024","7","2","735"
"24/01/2024","13","2","124"
"25/01/2024","36","2","888"
"25/01/2024","7","2","950"
"25/01/2024","37","2","409"
"25/01/2024","71","234","312"
"25/01/2024","65","2","84"
"25/01/2024","8","266","315"
"25/01/2024","98","2","130"
"25/01/2024","40","266","410"
"25/01/2024","7","234","653"
"25/01/2024","70","2","314"
"25/01/2024","98","234","922"
"25/01/2024","20","1","571"
"25/01/2024","16","266","575"
"25/01/2024","39","2","257"
"25/01/2024","39","234","1111"
"25/01/2024","34","234","906"
"25/01/2024","34","2","712"
"25/01/2024","28","1","132"
"25/01/2024","44","2","548"
"25/01/2024","71","2","43"
"25/01/2024","35","2","1154"
"25/01/2024","2","266","532"
"25/01/2024","11","2","715"
"25/01/2024","12","266","105"
"25/01/2024","36","234","83"
"25/01/2024","4","2","482"
"25/01/2024","19","1","231"
"25/01/2024","18","2","424"
"26/01/2024","12","266","288"
"26/01/2024","11","2","55"
"26/01/2024","2","2","570"
"26/01/2024","65","2","447"
"26/01/2024","20","1","818"
"26/01/2024","7","2","1328"
"26/01/2024","71","2","177"
"26/01/2024","28","1","15"
"26/01/2024","36","2","450"
"26/01/2024","39","234","420"
"26/01/2024","39","2","657"
"26/01/2024","16","266","569"
"26/01/2024","13","266","63"
"26/01/2024","35","2","1109"
"26/01/2024","2","266","621"
"26/01/2024","70","2","207"
"26/01/2024","18","2","280"
"26/01/2024","98","234","1411"
"26/01/2024","71","234","464"
"26/01/2024","19","1","473"
"26/01/2024","7","234","663"
"26/01/2024","98","2","102"
"26/01/2024","10","266","242"
"26/01/2024","37","2","618"
"26/01/2024","4","2","3"
"26/01/2024","8","266","223"
"26/01/2024","34","2","872"
"26/01/2024","44","2","535"
"26/01/2024","36","234","110"
"27/01/2024","70","234","31"
"27/01/2024","4","2","312"
"27/01/2024","18","2","99"
"27/01/2024","61","266","54"
"27/01/2024","2","266","791"
"27/01/2024","34","2","626"
"27/01/2024","7","234","129"
"27/01/2024","27","266","69"
"27/01/2024","48","266","65"
"27/01/2024","20","1","491"
"27/01/2024","12","266","652"
"27/01/2024","11","2","209"
"27/01/2024","16","266","691"
"27/01/2024","3","266","1063"
"27/01/2024","37","2","187"
"27/01/2024","7","2","779"
"27/01/2024","98","2","1271"
"27/01/2024","40","234","224"
"27/01/2024","10","266","345"
"27/01/2024","36","2","59"
"27/01/2024","98","234","946"
"27/01/2024","48","1","148"
"27/01/2024","39","2","502"
"27/01/2024","28","4003","175"
"27/01/2024","71","2","233"
"27/01/2024","13","266","219"
"27/01/2024","4","266","15"
"27/01/2024","2","2","102"
"27/01/2024","19","1","350"
"27/01/2024","35","2","583"
"27/01/2024","44","2","396"
"27/01/2024","65","2","315"
"28/01/2024","44","2","110"
"28/01/2024","70","266","825"
"28/01/2024","27","266","722"
"28/01/2024","4","2","98"
"28/01/2024","3","266","761"
"28/01/2024","98","2","63"
"28/01/2024","4","266","461"
"28/01/2024","10","266","1566"
"28/01/2024","2","2","24"
"28/01/2024","61","266","951"
"28/01/2024","12","266","528"
"28/01/2024","2","266","407"
"29/01/2024","13","266","87"
"29/01/2024","3","266","44"
"29/01/2024","16","266","188"
"29/01/2024","20","1","711"
"29/01/2024","2","2","224"
"29/01/2024","2","266","389"
"29/01/2024","36","2","1383"
"29/01/2024","98","2","1743"
"29/01/2024","28","4003","246"
"29/01/2024","44","2","181"
"29/01/2024","40","234","313"
"29/01/2024","19","1","426"
"29/01/2024","34","2","823"
"29/01/2024","39","2","1037"
"29/01/2024","98","234","475"
"29/01/2024","71","2","387"
"29/01/2024","65","2","116"
"29/01/2024","35","2","829"
"29/01/2024","7","234","555"
"29/01/2024","48","1","197"
"29/01/2024","7","2","795"
"29/01/2024","8","1","212"
"29/01/2024","70","2","163"
"29/01/2024","28","1","18"
"30/01/2024","3","2","12"
"30/01/2024","20","2","59"
"30/01/2024","18","2","28"
"30/01/2024","36","2","1926"
"30/01/2024","34","2","1592"
"30/01/2024","34","234","56"
"30/01/2024","45","266","272"
"30/01/2024","13","266","102"
"30/01/2024","20","1","421"
"30/01/2024","2","2","157"
"30/01/2024","37","2","333"
"30/01/2024","19","266","50"
"30/01/2024","48","1","333"
"30/01/2024","19","1","127"
"30/01/2024","28","4003","414"
"30/01/2024","7","234","33"
"30/01/2024","39","2","1020"
"30/01/2024","28","1","63"
"30/01/2024","2","266","891"
"30/01/2024","71","2","491"
"30/01/2024","11","2","645"
"30/01/2024","39","234","54"
"30/01/2024","6","2","828"
"30/01/2024","98","234","403"
"30/01/2024","8","1","264"
"30/01/2024","70","2","540"
"30/01/2024","36","234","217"
"30/01/2024","65","2","225"
"30/01/2024","4","2","857"
"30/01/2024","35","2","633"
"30/01/2024","40","234","598"
"30/01/2024","3","266","72"
"30/01/2024","7","2","1648"
"30/01/2024","44","2","846"
"30/01/2024","98","2","721"
"31/01/2024","35","2","345"
"31/01/2024","70","266","289"
"31/01/2024","2","266","726"
"31/01/2024","36","2","1169"
"31/01/2024","45","266","336"
"31/01/2024","20","1","363"
"31/01/2024","44","2","296"
"31/01/2024","7","2","1809"
"31/01/2024","28","4003","184"
"31/01/2024","34","234","18"
"31/01/2024","7","234","54"
"31/01/2024","37","2","203"
"31/01/2024","71","2","645"
"31/01/2024","61","266","323"
"31/01/2024","2","2","112"
"31/01/2024","36","234","723"
"31/01/2024","70","2","701"
"31/01/2024","40","234","593"
"31/01/2024","41","1","609"
"31/01/2024","4","2","1139"
"31/01/2024","28","1","8"
"31/01/2024","6","2","513"
"31/01/2024","98","2","1088"
"31/01/2024","6","234","695"
"31/01/2024","11","2","232"
"31/01/2024","61","2","263"
"31/01/2024","20","2","146"
"31/01/2024","70","234","80"
"31/01/2024","19","1","540"
"31/01/2024","8","1","322"
"31/01/2024","34","2","1009"
"31/01/2024","48","1","380"
"31/01/2024","65","2","497"
"31/01/2024","13","266","102"
"31/01/2024","16","266","164"
"31/01/2024","39","2","1476"
"01/02/2024","71","2","389"
"01/02/2024","37","2","64"
"01/02/2024","28","4003","288"
"01/02/2024","28","1","57"
"01/02/2024","36","234","60"
"01/02/2024","65","2","663"
"01/02/2024","45","266","224"
"01/02/2024","20","2","96"
"01/02/2024","6","2","604"
"01/02/2024","7","2","1442"
"01/02/2024","34","2","926"
"01/02/2024","2","266","482"
"01/02/2024","36","2","2353"
"01/02/2024","37","4003","227"
"01/02/2024","48","1","360"
"01/02/2024","16","266","640"
"01/02/2024","61","266","359"
"01/02/2024","11","2","237"
"01/02/2024","70","2","568"
"01/02/2024","35","2","897"
"01/02/2024","13","266","338"
"01/02/2024","8","1","256"
"01/02/2024","39","2","357"
"01/02/2024","12","266","401"
"01/02/2024","40","234","419"
"01/02/2024","27","266","501"
"01/02/2024","44","2","471"
"01/02/2024","61","2","385"
"01/02/2024","10","266","870"
"01/02/2024","3","266","85"
"01/02/2024","4","2","583"
"01/02/2024","18","4003","117"
"01/02/2024","19","1","437"
"01/02/2024","98","234","345"
"01/02/2024","98","2","1315"
"02/02/2024","61","2","714"
"02/02/2024","18","4003","246"
"02/02/2024","44","2","398"
"02/02/2024","37","2","225"
"02/02/2024","36","2","1107"
"02/02/2024","39","2","160"
"02/02/2024","3","266","675"
"02/02/2024","40","234","565"
"02/02/2024","11","2","646"
"02/02/2024","7","2","942"
"02/02/2024","13","266","140"
"02/02/2024","19","1","232"
"02/02/2024","65","2","274"
"02/02/2024","35","2","597"
"02/02/2024","10","266","215"
"02/02/2024","61","266","736"
"02/02/2024","34","2","820"
"02/02/2024","48","1","342"
"02/02/2024","98","2","727"
"02/02/2024","2","266","42"
"02/02/2024","20","2","131"
"02/02/2024","27","266","452"
"02/02/2024","71","2","60"
"02/02/2024","4","2","1145"
"02/02/2024","37","4003","412"
"02/02/2024","8","1","307"
"02/02/2024","70","266","368"
"02/02/2024","12","266","252"
"02/02/2024","28","4003","241"
"02/02/2024","16","266","872"
"02/02/2024","41","1","730"
"02/02/2024","6","2","362"
"03/02/2024","35","2","138"
"03/02/2024","12","266","218"
"03/02/2024","34","2","510"
"03/02/2024","65","2","126"
"03/02/2024","28","4003","507"
"03/02/2024","36","2","597"
"03/02/2024","16","266","725"
"03/02/2024","18","4003","686"
"03/02/2024","98","2","3157"
"03/02/2024","48","1","286"
"03/02/2024","8","1","241"
"03/02/2024","7","2","1331"
"03/02/2024","20","2","51"
"03/02/2024","41","1","527"
"03/02/2024","61","2","279"
"03/02/2024","11","2","207"
"03/02/2024","2","266","276"
"03/02/2024","6","2","427"
"03/02/2024","4","2","412"
"03/02/2024","13","266","198"
"03/02/2024","2","2","215"
"03/02/2024","27","266","206"
"03/02/2024","7","234","102"
"03/02/2024","19","1","309"
"03/02/2024","39","2","556"
