"ORDEN_PRODUCCION","SECUENCIA_PAQUETE","ESTILO","TALLA","PRENDAS","FECHA_TERMINO"
"857722","8","PJ2909-51","4","10","04/01/2024 21:42:44"
"857722","9","PJ2909-51","4","10","04/01/2024 21:42:44"
"857722","10","PJ2909-51","5","40","04/01/2024 19:38:36"
"857722","11","PJ2909-51","5","40","04/01/2024 20:00:46"
"857722","12","PJ2909-51","6","40","04/01/2024 19:52:13"
"857722","13","PJ2909-51","6","25","04/01/2024 23:02:09"
"857722","14","PJ2909-51","6","12","04/01/2024 19:52:13"
"857722","15","PJ2909-51","6","12","04/01/2024 23:02:09"
"857722","16","PJ2909-51","8","40","04/01/2024 21:28:09"
"857722","17","PJ2909-51","8","25","04/01/2024 21:28:09"
"857722","18","PJ2909-51","8","15","04/01/2024 19:54:03"
"857722","19","PJ2909-51","8","10","04/01/2024 19:54:03"
"857722","20","PJ2909-51","8","10","04/01/2024 21:28:08"
"857754","1","81376","85","4","20/01/2024 12:16:07"
"857754","2","81376","90","11","20/01/2024 12:14:27"
"857754","3","81376","100","11","23/01/2024 12:01:42"
"857754","4","81376","110","12","20/01/2024 12:13:04"
"857754","5","81376","120","13","20/01/2024 12:06:28"
"857754","6","81376","120","5","20/01/2024 12:06:28"
"857754","7","81376","130","13","20/01/2024 12:11:36"
"857754","8","81376","140","10","20/01/2024 12:08:36"
"857754","9","81376","150","7","20/01/2024 12:09:59"
"857788","5","510047","LG","0","05/01/2024 18:19:33"
"857842","5","PF5445-20","40","25","03/01/2024 15:31:01"
"857842","6","PF5445-20","42","25","03/01/2024 15:35:38"
"857969","1","TH6710-51","3","76","10/01/2024 16:51:44"
"857969","2","TH6710-51","3","24","10/01/2024 15:08:32"
"857969","3","TH6710-51","4","74","10/01/2024 15:35:53"
"857969","4","TH6710-51","4","77","10/01/2024 15:22:08"
"857969","5","TH6710-51","4","74","10/01/2024 15:26:03"
"857969","6","TH6710-51","4","22","10/01/2024 15:10:31"
"857970","1","TH6710-51","5","58","12/01/2024 15:56:41"
"857970","2","TH6710-51","5","51","13/01/2024 11:08:28"
"857970","3","TH6710-51","5","64","12/01/2024 15:35:43"
"857970","4","TH6710-51","5","69","12/01/2024 15:50:07"
"857970","5","TH6710-51","6","62","12/01/2024 15:51:50"
"857971","1","TH6710-51","6","64","13/01/2024 13:13:43"
"857971","2","TH6710-51","6","68","16/01/2024 18:15:32"
"857971","3","TH6710-51","6","49","12/01/2024 17:35:56"
"857971","4","TH6710-51","7","63","16/01/2024 17:32:39"
"857971","5","TH6710-51","7","62","16/01/2024 18:10:27"
"857971","6","TH6710-51","7","6","12/01/2024 17:52:59"
"857971","7","TH6710-51","8","63","12/01/2024 17:45:12"
"857971","8","TH6710-51","9","44","15/01/2024 12:21:59"
"858048","1","TH0605-51","9R","20","08/01/2024 17:22:51"
"858168","1","510140","XS","4","18/01/2024 18:50:43"
"858168","2","510140","SM","13","19/01/2024 16:39:57"
"858168","3","510140","MED","10","18/01/2024 18:29:55"
"858168","4","510140","LG","14","19/01/2024 16:58:50"
"858168","5","510140","XL","13","19/01/2024 17:21:35"
"858182","1","426595","S","0","07/03/2024 11:43:24"
"858182","2","426595","M","0","07/03/2024 11:43:24"
"858182","3","426595","L","1","07/03/2024 11:43:24"
"858182","4","426595","XL","0","07/03/2024 11:43:24"
"858184","1","53874","M","3","12/02/2024 9:20:21"
"858184","2","53874","L","8","12/02/2024 8:18:15"
"858184","3","53874","XL","5","12/02/2024 9:22:12"
"858195","1","510140","XS","20","14/02/2024 15:45:51"
"858195","4","510140","MED","13","14/02/2024 14:37:57"
"858195","6","510140","LG","13","14/02/2024 14:45:35"
"858196","1","515674","1X","9","18/01/2024 17:23:57"
"858196","2","515674","1X","10","18/01/2024 17:27:45"
"858328","1","53874","M","2","08/02/2024 17:39:16"
"858328","2","53874","L","5","08/02/2024 13:47:38"
"858362","1","214948","1X","25","18/01/2024 18:31:25"
"858388","1","53874","S","4","12/02/2024 10:00:12"
"858388","2","53874","M","8","12/02/2024 10:05:18"
"858388","3","53874","L","8","12/02/2024 9:55:39"
"858388","4","53874","XL","4","12/02/2024 8:20:14"
"858469","1","510047","MED","19","22/01/2024 10:44:08"
"858469","2","510047","MED","11","23/01/2024 10:53:36"
"858469","3","510047","LG","14","22/01/2024 13:34:32"
"858469","4","510047","LG","12","22/01/2024 10:39:16"
"858469","5","510047","XL","19","22/01/2024 16:57:16"
"858469","6","510047","XL","11","23/01/2024 9:56:12"
"858469","7","510047","XXL","14","22/01/2024 17:51:24"
"858469","8","510047","XXL","12","24/01/2024 14:40:13"
"858557","1","501639","1X","26","11/01/2024 10:55:36"
"858557","2","501639","2X","25","09/01/2024 18:43:31"
"858557","3","501639","3X","23","09/01/2024 18:45:49"
"858564","1","501229","XL","3","10/02/2024 11:02:19"
"858583","1","501645","2X","23","30/01/2024 11:47:43"
"858588","1","TH6709-23","5","66","13/01/2024 13:44:55"
"858588","2","TH6709-23","5","65","13/01/2024 15:06:33"
"858588","3","TH6709-23","5","66","13/01/2024 15:55:53"
"858588","4","TH6709-23","5","68","13/01/2024 15:02:01"
"858588","5","TH6709-23","5","67","13/01/2024 14:51:19"
"858588","6","TH6709-23","5","68","13/01/2024 15:32:05"
"858619","1","DH2050-51","3","59","22/01/2024 16:47:44"
"858619","2","DH2050-51","4","53","23/01/2024 13:31:19"
"858619","3","DH2050-51","4","51","23/01/2024 15:02:27"
"858619","4","DH2050-51","4","43","23/01/2024 17:17:28"
"858619","5","DH2050-51","5","37","23/01/2024 14:29:51"
"858619","8","DH2050-51","5","12","24/01/2024 5:46:55"
"858619","9","DH2050-51","6","47","24/01/2024 4:29:58"
"858619","10","DH2050-51","6","48","24/01/2024 5:23:20"
"858619","11","DH2050-51","6","43","24/01/2024 2:49:55"
"858619","12","DH2050-51","7","44","24/01/2024 4:23:25"
"858619","13","DH2050-51","7","11","24/01/2024 9:13:56"
"858619","14","DH2050-51","8","21","24/01/2024 9:17:41"
"858645","1","516361","SM","17","23/01/2024 18:36:37"
"858645","2","516361","MED","34","24/01/2024 14:32:15"
"858645","3","516361","LG","34","23/01/2024 18:26:38"
"858645","4","516361","XL","22","25/01/2024 17:21:27"
"858678","1","PF5445-20","32","13","12/01/2024 18:35:56"
"858678","2","PF5445-20","34","24","12/01/2024 18:37:21"
"858678","3","PF5445-20","36","16","12/01/2024 18:35:11"
"858678","4","PF5445-20","38","25","12/01/2024 18:32:00"
"858678","5","PF5445-20","40","25","12/01/2024 18:29:54"
"858678","6","PF5445-20","42","25","15/01/2024 21:06:41"
"858678","7","PF5445-20","44","25","12/01/2024 18:33:39"
"858678","8","PF5445-20","46","13","12/01/2024 18:38:32"
"858689","1","DH2050-51","3","57","20/01/2024 16:22:16"
"858689","2","DH2050-51","4","53","20/01/2024 15:33:09"
"858689","3","DH2050-51","4","53","19/01/2024 17:47:43"
"858689","4","DH2050-51","4","42","19/01/2024 15:20:43"
"858689","5","DH2050-51","5","50","20/01/2024 13:32:02"
"858689","6","DH2050-51","5","50","22/01/2024 16:21:33"
"858689","7","DH2050-51","5","52","20/01/2024 15:03:47"
"858689","8","DH2050-51","6","51","22/01/2024 17:54:20"
"858689","9","DH2050-51","6","51","19/01/2024 17:22:53"
"858689","10","DH2050-51","6","30","19/01/2024 18:24:48"
"858689","11","DH2050-51","7","52","20/01/2024 12:01:04"
"858689","12","DH2050-51","8","20","20/01/2024 15:03:46"
"858696","1","TJ1207-23","3","5","11/01/2024 20:58:45"
"858696","2","TJ1207-23","4","5","11/01/2024 21:00:09"
"858696","3","TJ1207-23","5","5","11/01/2024 21:14:54"
"858696","4","TJ1207-23","6","9","11/01/2024 20:31:53"
"858696","5","TJ1207-23","8","9","11/01/2024 20:31:09"
"858696","6","TJ1207-23","10","4","11/01/2024 20:58:03"
"858696","7","TJ1207-23","12","5","11/01/2024 21:01:48"
"858702","1","TF7293-51","40","9","11/01/2024 18:19:58"
"858702","2","TF7293-51","42","15","11/01/2024 17:17:36"
"858702","3","TF7293-51","44","14","11/01/2024 18:21:33"
"858720","1","278716","MED","3","14/02/2024 15:46:18"
"858729","1","DH2050-51","3","55","23/01/2024 19:30:56"
"858729","2","DH2050-51","3","11","24/01/2024 13:19:43"
"858729","3","DH2050-51","4","53","23/01/2024 19:14:39"
"858729","4","DH2050-51","4","53","24/01/2024 11:13:07"
"858729","5","DH2050-51","4","37","23/01/2024 19:37:45"
"858729","6","DH2050-51","5","51","24/01/2024 2:41:11"
"858729","7","DH2050-51","5","50","23/01/2024 23:43:56"
"858729","8","DH2050-51","5","45","23/01/2024 23:37:24"
"858729","9","DH2050-51","6","49","24/01/2024 2:10:57"
"858729","10","DH2050-51","6","49","24/01/2024 1:22:09"
"858729","11","DH2050-51","7","39","24/01/2024 3:25:08"
"858729","12","DH2050-51","8","17","24/01/2024 2:29:36"
"858824","1","DH2050-23","2","1","19/01/2024 17:48:41"
"858824","2","DH2050-23","3","5","19/01/2024 17:50:29"
"858824","3","DH2050-23","4","9","19/01/2024 17:53:04"
"858824","4","DH2050-23","5","7","19/01/2024 17:51:04"
"858824","5","DH2050-23","6","6","19/01/2024 17:54:42"
"858824","6","DH2050-23","7","3","19/01/2024 17:55:33"
"858824","7","DH2050-23","8","3","19/01/2024 17:53:54"
"858824","8","DH2050-23","9","1","19/01/2024 17:49:33"
"858828","1","500798","XS","25","08/01/2024 16:45:29"
"858847","1","TH6710-51","2","6","03/01/2024 15:31:20"
"858847","2","TH6710-51","3","72","03/01/2024 15:29:23"
"858847","3","TH6710-51","3","73","03/01/2024 14:22:13"
"858847","4","TH6710-51","4","78","03/01/2024 18:24:15"
"858847","5","TH6710-51","4","78","03/01/2024 17:38:58"
"858847","6","TH6710-51","4","79","03/01/2024 15:32:00"
"858847","7","TH6710-51","4","78","03/01/2024 14:18:26"
"858848","1","TH6710-51","5","73","09/01/2024 19:22:26"
"858848","2","TH6710-51","5","73","08/01/2024 15:53:49"
"858848","3","TH6710-51","5","72","07/01/2024 15:59:27"
"858848","4","TH6710-51","5","73","08/01/2024 14:37:37"
"858848","5","TH6710-51","5","68","07/01/2024 13:03:35"
"858849","1","TH6710-51","6","61","08/01/2024 17:51:40"
"858849","2","TH6710-51","6","61","08/01/2024 15:39:26"
"858849","3","TH6710-51","6","61","08/01/2024 18:30:32"
"858849","4","TH6710-51","6","62","09/01/2024 14:37:31"
"858849","5","TH6710-51","6","62","08/01/2024 14:31:33"
"858850","1","TH6710-51","7","67","09/01/2024 14:42:06"
"858850","2","TH6710-51","7","67","09/01/2024 15:03:40"
"858850","3","TH6710-51","7","37","09/01/2024 14:57:02"
"858850","4","TH6710-51","8","54","08/01/2024 17:57:52"
"858850","5","TH6710-51","8","31","08/01/2024 18:46:39"
"858850","6","TH6710-51","9","50","08/01/2024 18:35:17"
"858882","1","500799","1X","23","08/01/2024 18:45:05"
"858882","2","500799","2X","25","08/01/2024 16:59:19"
"858898","1","501229","XL","3","02/02/2024 7:26:53"
"858922","1","522464","XS","25","10/01/2024 17:45:26"
"858922","2","522464","SM","39","10/01/2024 17:45:59"
"858922","3","522464","MED","51","10/01/2024 16:51:08"
"858922","4","522464","LG","51","10/01/2024 18:34:35"
"858922","5","522464","XL","39","10/01/2024 16:43:02"
"858950","1","519376","S8","22","10/01/2024 12:14:26"
"858950","2","519376","M10/","18","09/01/2024 18:25:02"
"858950","3","519376","L14/","33","09/01/2024 18:40:26"
"858950","4","519376","L14/","7","10/01/2024 12:07:25"
"858951","1","520016","S4","18","10/01/2024 14:50:42"
"858951","2","520016","M5/6","44","10/01/2024 15:01:21"
"858951","3","520016","M5/6","42","09/01/2024 18:35:56"
"858951","4","520016","M5/6","17","09/01/2024 18:23:10"
"858951","5","520016","L6X/","23","10/01/2024 12:50:25"
"858962","1","502745","XS","9","22/02/2024 16:21:30"
"858962","2","502745","SM","19","22/02/2024 15:33:11"
"858962","5","502745","SM","20","22/02/2024 15:30:55"
"858962","6","502745","SM","16","22/02/2024 16:13:28"
"858962","7","502745","SM","16","22/02/2024 16:18:32"
"858962","9","502745","MED","20","24/02/2024 13:58:48"
"858962","11","502745","MED","20","22/02/2024 15:48:21"
"858962","12","502745","MED","18","22/02/2024 16:25:24"
"858962","13","502745","MED","16","24/02/2024 11:46:57"
"858962","16","502745","LG","20","22/02/2024 17:53:49"
"859025","1","502659","SM","24","22/01/2024 17:16:58"
"859025","2","502659","MED","24","19/01/2024 15:15:12"
"859033","1","207242","LG","74","05/01/2024 21:56:56"
"859033","2","207242","LG","23","05/01/2024 22:00:33"
"859034","1","501643","MED","24","11/01/2024 19:40:34"
"859034","2","501643","LG","23","11/01/2024 19:42:03"
"859038","1","501638","LG","26","21/02/2024 17:12:28"
"859056","8","DH2050-23","6","41","19/01/2024 17:00:18"
"859056","11","DH2050-23","7","33","18/01/2024 14:48:05"
"859057","1","DH2050-52","4","21","15/01/2024 18:01:00"
"859057","2","DH2050-52","5","25","15/01/2024 18:11:59"
"859071","1","501229","SM","47","16/01/2024 9:22:06"
"859071","2","501229","MED","49","15/01/2024 20:39:29"
"859071","3","501229","LG","74","16/01/2024 9:14:20"
"859071","4","501229","XL","46","16/01/2024 12:58:38"
"859079","1","PH7426-20","3","14","10/01/2024 12:00:52"
"859079","2","PH7426-20","4","15","10/01/2024 14:54:50"
"859079","3","PH7426-20","5","15","10/01/2024 15:02:03"
"859079","4","PH7426-20","6","15","10/01/2024 12:03:55"
"859079","5","PH7426-20","7","15","10/01/2024 12:08:19"
"859105","1","521001","2XLT","29","12/01/2024 17:45:42"
"859105","2","521001","2XLT","30","13/01/2024 13:34:08"
"859105","3","521001","3XLT","38","12/01/2024 16:58:30"
"859105","4","521001","4XLT","26","12/01/2024 11:27:38"
"859106","1","428065","M","56","27/01/2024 13:45:45"
"859106","2","428065","L","41","27/01/2024 14:04:37"
"859106","3","428065","L","30","27/01/2024 16:10:26"
"859106","4","428065","XL","49","26/01/2024 17:41:42"
"859106","5","428065","XXL","19","30/01/2024 14:03:09"
"859107","1","428066","XL","44","30/01/2024 16:35:28"
"859139","3","502176","LG","64","23/01/2024 19:23:34"
"859139","5","502176","LG","19","26/01/2024 14:41:18"
"859174","8","PF5445-51","36","18","03/01/2024 15:38:10"
"859195","1","426595","S","6","10/02/2024 14:33:53"
"859195","2","426595","L","3","10/02/2024 14:32:39"
"859219","1","DH2050-51","5","14","24/01/2024 9:15:13"
"859219","2","DH2050-51","5","51","24/01/2024 10:05:47"
"859219","3","DH2050-51","5","35","24/01/2024 9:21:02"
"859252","1","501625","XS","19","16/01/2024 15:01:37"
"859252","2","501625","SM","45","16/01/2024 15:18:17"
"859252","3","501625","SM","29","19/01/2024 16:45:03"
"859252","4","501625","MED","53","16/01/2024 16:38:38"
"859252","5","501625","XL","45","16/01/2024 16:45:07"
"859252","6","501625","XL","45","16/01/2024 15:37:45"
"859252","7","501625","XL","42","16/01/2024 15:39:30"
"859252","8","501625","XL","38","17/01/2024 13:48:22"
"859253","1","501625","MED","45","16/01/2024 13:21:05"
"859253","2","501625","MED","45","16/01/2024 14:40:23"
"859253","3","501625","MED","43","17/01/2024 14:05:38"
"859253","4","501625","LG","45","16/01/2024 13:25:41"
"859253","5","501625","LG","45","16/01/2024 14:30:53"
"859253","6","501625","LG","45","16/01/2024 14:27:15"
"859253","7","501625","LG","42","16/01/2024 14:34:50"
"859253","8","501625","LG","30","16/01/2024 14:16:19"
"859318","1","510140","SM","16","18/01/2024 15:29:48"
"859318","2","510140","MED","13","18/01/2024 14:51:43"
"859318","3","510140","MED","10","18/01/2024 15:04:43"
"859318","4","510140","LG","16","18/01/2024 15:17:44"
"859318","5","510140","XL","10","18/01/2024 17:19:25"
"859344","1","278716","MED","3","17/02/2024 10:26:10"
"859344","2","278716","LG","26","16/02/2024 16:36:08"
"859346","1","511705","MED","21","13/01/2024 11:58:50"
"859346","2","511705","LG","47","13/01/2024 13:19:04"
"859346","3","511705","LG","17","18/01/2024 14:06:59"
"859370","3","507330","3X","25","16/01/2024 15:35:48"
