period_month,ug_name,uol1_name,uol2_name,servicel1_id,servicel1_name,issues_review_menor_7_dias,issues_en_revision_total,historias_fix_version_deploy,cantidad_historias_deploy,repos_activos_con_nomenclatura_estandar,total_repositorios_en_uso,promedio_tiempo_aprobacion_pr,promedio_tamano_pr,repos_gobernados_chimera_activos,promedio_tiempo_integracion,promedio_tiempo_builds,pipelines_ejecuciones_exitosas,pipelines_ejecuciones_totales,promedio_tiempo_reparacion_builds,repos_sonarqube_ok_activos,repos_conectados_sonarqube,items_pruebas_desplegados_xray,items_desplegados_totales
01-Jul,VENEZUELA,SYSTEMS,CHANNELS,698,RETAIL WEB & MOBILE,11,12,11,12,6,6,0.34,59,6,1.1,4,11,11,98.5,9,11,5,5
01-Jul,CIB,SW DELIVERY,REPOSITORIES AND SUPERVISORY FUNCTIONS,1178,SUPERVISORY FUNCTIONS,1,1,13,14,8,10,0.08,85,9,1.14,6,13,13,12.5,8,10,10,10
01-Aug,ESPANA,DATA ENGINEERING,DATA HUB,843,CROSS SYSTEM,11,12,8,9,7,9,0.28,1.5,8,2.83,8,10,11,59,14,14,15,15
01-Aug,MEXICO,DATA TRANSFORMATION & ENGINEERING,DATAHUB EXTENDED,865,DATA BANKING,11,12,11,12,9,9,0.03,23,7,2.07,12.5,9,12,13.5,10,10,5,5
01-Jul,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,898,RIESGOS - DATA,11,12,11,12,9,9,0.22,27,8,1.2,23.5,9,9,12,14,14,8,8
01-Jul,MEXICO,SYSTEMS ENGINEERING,CORE CROSS SYSTEMS,412,APPLICATION SECURITY,8,8,9,10,9,9,0.01,58,9,1.56,10.5,10,11,81,12,14,12,12
01-Aug,GSD,GSD,DEVOPS & SW DEV TOOLS,854,SW DEVTOOLS SUITE,10,10,12,13,7,9,0.21,56.5,9,2.45,4.5,10,10,77.5,7,7,10,10
01-Jul,ARGENTINA,INGENIERIA & DATA,DATAHUB ARGENTINA,875,DATIO-AR MODELOS GLOBALES,5,5,7,7,12,12,0.89,92.5,11,2.88,8,11,12,23,7,9,15,15
01-Jun,MEXICO,DATA TRANSFORMATION & ENGINEERING,DATAHUB EXTENDED,864,CLIENT SOLUTIONS,14,14,14,15,4,5,0.14,95,4,2.15,13.5,13,13,11.5,11,13,9,9
01-Jun,ESPANA,SYSTEMS ENGINEERING,CORE CROSS SYSTEMS,273,"DOC, TTGG, LIQUIDACION",11,12,7,8,5,6,0.14,230.5,4,1.76,19.5,12,12,53.5,4,4,4,4
01-Aug,CFE,RISK,,1249,CAPITAL,10,11,8,8,10,10,0.24,100,10,2.69,13.5,14,14,71,5,6,10,10
01-Aug,GSD,GSD,ALPHA,849,INFRAESTRUCTURA MULTICANAL,3,3,10,10,13,13,0.01,3.5,13,2.26,5,10,12,70,4,4,8,8
01-Jun,RETAIL CLIENT SOLUTIONS,RETAIL,RETAIL - MOBILE,882,PLATAFORMA RETAIL - MOBILE,4,4,9,10,5,6,0.3,12,5,1.56,5.5,9,9,60.5,9,9,6,6
01-Jun,CFE,T&C,,1256,WORKFORCE RECRUITING-TALENT,11,11,11,11,14,15,0.7,3,15,2.37,14.5,9,10,85,12,13,14,14
01-Jul,ESPANA,SYSTEMS ENGINEERING,CORE CROSS SYSTEMS,271,CCS PRICING,5,5,9,9,13,13,0.02,10,12,2.74,15.5,11,12,62.5,12,13,6,6
01-Aug,COMMERCIAL CLIENT SOLUTIONS,SUSTAINABILITY RELATIONSHIP MODELS & SPARK,RELATIONSHIP MODELS,1050,SERVICE BANKERS'S TOOLS - DWP,13,14,2,2,9,10,0.01,159.5,8,2.71,18,10,10,42,5,5,10,10
01-Jul,CFE,RISK,,1249,CAPITAL,3,3,12,13,11,12,0.21,91,10,1.25,5,11,12,115.5,14,15,11,11
01-Aug,PERU,SYSTEMS,ENTERPRISE,748,ENTERPRISE BANKING CANALES WEB & MOBILE,10,10,12,13,12,13,0.61,160.5,13,2.05,2.5,10,12,22.5,9,10,10,10
01-Jul,MEXICO,SYSTEMS ENGINEERING,RETAIL,436,MOBILE RETAIL,8,9,8,8,10,11,0.03,7,11,2.06,16,12,13,17,10,11,8,8
01-Aug,ARGENTINA,INGENIERIA & DATA,DATAHUB ARGENTINA,877,DATIO-AR RIESGOS Y FINANZAS,8,8,12,13,12,13,0.45,19.5,12,1.78,23.5,10,11,28.5,8,9,5,5
01-Jul,MEXICO,DATA TRANSFORMATION & ENGINEERING,DATAHUB EXTENDED,865,DATA BANKING,14,15,9,10,9,10,0.45,95,9,1.36,17,12,12,29,12,12,4,4
01-Jul,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,574,MOVIL RETAIL,14,15,12,13,5,7,0.08,53.5,5,1.77,11.5,9,9,53,14,14,13,13
01-Aug,PERU,DATA,DATAHUB,902,DATIO FINANZAS,7,7,8,8,14,14,0.41,70,13,2.25,15.5,5,6,7,9,10,8,8
01-Aug,COLOMBIA,SYSTEMS ENGINEERING,ENTERPRISE,592,TRANSACCIONALIDAD,7,7,8,9,7,8,0.26,137,8,2.73,4,10,12,6,12,13,12,12
01-Jun,ESPANA,SYSTEMS ENGINEERING,CORE CROSS SYSTEMS,275,MODELO DE DIRECCION Y GESTION,13,14,10,10,13,15,0.32,26,15,2.86,2,9,11,62.5,10,10,11,11
01-Jun,COLOMBIA,SYSTEMS ENGINEERING,CIB & COMEX - FIDUCIARIA - VALORES,560,VALORES,8,8,12,13,9,10,0.04,23.5,9,1.29,15,1,1,46.5,10,12,6,6
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,STAFFING Y METODOLOGIA,26,AR35 BRANCHES / OFICINAS OPERATORIA,6,6,7,7,8,10,0.21,6,8,1.44,9,11,11,42.5,12,12,14,14
01-Jul,CIB,DATA ENGINEERING,FINANCE DATA,1145,DATAWAREHOUSE & DATAMARTS,13,14,10,11,6,8,0.25,65.5,7,1.93,12,14,14,18.5,9,10,12,12
01-Aug,PERU,SYSTEMS,RETAIL,764,CONTACT CENTER,9,9,13,14,10,12,0.43,40,9,1.65,11.5,11,13,22,14,14,9,9
01-Jul,ESPANA,DATA ENGINEERING,DATA HUB,845,RIESGOS & FINANZAS,4,5,2,2,10,10,0.07,116.5,8,1.55,5,10,11,80,8,8,12,12
01-Jul,CIB,DATA ENGINEERING,UNDERWRITING & COMMERCIAL PROCESS,1148,COMMERCIAL MANAGEMENT - CRM,12,13,8,8,9,9,0.08,12,6,2.28,16,15,15,0.5,10,14,10,10
01-Jul,PERU,SYSTEMS,RETAIL,765,CRM & DIGITAL MARKETING,14,15,11,12,6,8,0.11,44,7,2.53,3,7,7,6,12,12,11,11
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,53,AR15 EVOLUCION DIGITAL DE GESTION DE TARJETAS,11,11,12,13,8,8,0.41,28.5,7,1.34,13,6,6,119.5,9,11,7,7
01-Aug,ESPANA,SYSTEMS ENGINEERING,INSURANCE AND ASSET MANAGEMENT SYSTEMS,277,ASSET MANAGEMENT - BACKOFFICE Y FONDOS DE INVERSION,7,7,8,9,7,8,0.02,75,8,2.63,12.5,3,3,89.5,11,13,10,10
01-Aug,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,1069,PROCESOS ONBOARDING & CONTRATACI��,10,10,13,14,8,8,0.41,51,8,1.02,26.5,11,11,82.5,15,15,12,12
01-Jul,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,576,OFICINA,14,15,11,12,2,3,0.51,10,3,2.88,18.5,8,8,75,13,13,11,11
01-Jun,ESPANA,SYSTEMS ENGINEERING,CORE CROSS SYSTEMS,271,CCS PRICING,6,6,8,8,10,10,0.02,17,10,1.75,4,12,14,69,9,10,7,7
01-Jun,CFE,FINANCE,,1246,PROCUREMENT,7,7,12,13,4,4,0.47,71,4,1.31,33.5,13,15,29.5,13,15,5,5
01-Jul,URUGUAY,INGENIERIA & DATA,DE #ONE DATAHUB URUGUAY,879,ENGINEERING & DATA,13,14,13,14,9,9,0.3,43,7,2.42,3.5,11,12,8.5,10,11,10,10
01-Jun,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,446,SPECIALIZED PRODUCTS,13,14,8,8,14,14,0.21,37.5,12,2.04,29,1,1,3.5,13,13,12,12
01-Jul,CFE,RISK,,1252,PROVISIONES,9,9,13,14,9,10,0.14,107.5,10,3.38,9.5,8,8,13,8,8,6,6
01-Aug,PERU,SYSTEMS,LOANS,741,LOANS,13,14,1,1,2,3,0.11,22,3,2.02,3.5,10,11,41,9,11,13,13
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,75,EB01 ENTERPRISE WEB / WEB EMPRESAS,11,11,11,11,14,14,0.09,34.5,13,2.26,19,14,14,73,9,11,6,6
01-Aug,ESPANA,SYSTEMS ENGINEERING,CORE CROSS SYSTEMS,273,"DOC, TTGG, LIQUIDACION",9,9,9,9,10,10,0.47,28.5,7,1.57,12.5,5,6,57.5,7,7,11,11
01-Jul,GSD,GSD,ALPHA,850,INFRAESTRUCTURA PERSONAS Y CONTRATOS,10,11,7,8,5,5,0.47,7.5,5,1.31,44,14,14,14,11,11,14,14
01-Jul,RETAIL CLIENT SOLUTIONS,CROSS,OPTIMIZATION & FUNNEL HEALTH,893,OPTIMIZATION & FUNNEL HEALTH,12,13,10,11,5,5,0.19,47,4,1.38,18,13,14,61.5,8,8,14,14
01-Jun,RETAIL CLIENT SOLUTIONS,RETAIL,RETAIL - PAYMENTS,886,PLATAFORMA ADQUIRENCIA,9,10,7,8,8,8,0.37,99,6,1.73,31,14,15,4.5,8,8,15,15
01-Jun,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,DIGITAL CHANNELS,1070,PLATAFORMA GEMA,10,10,10,10,11,12,0.1,36,12,1.93,25,8,10,3,12,12,11,11
01-Aug,GSD,GSD,ALPHA,847,CATALOGOS,11,11,11,12,9,11,0.18,124.5,11,1.75,10.5,6,6,4,6,8,11,11
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,73,AR45 HELP DESK ARG,4,4,11,12,10,11,0.06,10,10,1.09,33.5,12,12,54,12,13,7,7
