period_month,ug_name,uol1_name,uol2_name,servicel1_id,servicel1_name,Nº fichas RFO,Nº SN2 con ficha RFO con status OK,Nº SN2 con dependencias Consumer,Nº SN2 del tipo Aplicación no Hijo,Número de features deployed válidas,Número de features deployed,Valor de cumplimiento de objetivos en Op Model,Servicios N2 con medición en el modelo objetivo del Op Model,Vulnerab. de alto riesgo por cada mil líneas de códgio,Vulnerab. de alto riesgo por cada mil líneas de códgio mes anterior,Variación de la evolución de vulnerabilidades,Nº de vulnerabilidades high,Nº de Lineas de código,Nº de vulnerabilidades high en el mes anterior,Líneas de código en el mes anterior
25-Aug,CFE,RISK,,6,RETAIL CREDIT RISK,0,0,3,3,18,19,1,3,0,0,0,0,358.453,0,0
25-Sep,CFE,RISK,,6,RETAIL CREDIT RISK,0,0,3,3,20,22,1,3,0,0,0,0,359.324,0,0
25-Mar,CFE,RISK,,7,PROVISIONES,3,3,2,3,30,30,0,3,0,0,0,0,694.573,0,0
25-Apr,CFE,RISK,,7,PROVISIONES,3,3,3,3,0,0,0,3,0,0,0,0,592.178,0,0
25-May,CFE,RISK,,7,PROVISIONES,3,3,3,3,12,12,0.5,3,0,0,0,0,596.238,0,0
25-Jun,CFE,RISK,,7,PROVISIONES,3,3,3,3,25,25,2,3,0,0,0,0,599.789,0,0
25-Jul,CFE,RISK,,7,PROVISIONES,3,3,3,3,2,2,2,3,0,0,0,0,603.188,0,0
25-Aug,CFE,RISK,,7,PROVISIONES,3,3,3,3,2,2,2.5,3,0,0,0,0,603.18,0,0
25-Sep,CFE,RISK,,7,PROVISIONES,3,3,3,3,10,10,2.5,3,0,0,0,0,605.819,0,0
25-Mar,CFE,R&IC,,9,NFR,5,5,4,4,9,9,1,4,0,0,0,0,726.481,0,0
25-Apr,CFE,R&IC,,9,NFR,5,5,4,4,0,0,1,4,0,0,0,0,635.201,0,0
25-May,CFE,R&IC,,9,NFR,5,5,4,4,21,21,1,4,0,0,0,0,637.201,0,0
25-Jun,CFE,R&IC,,9,NFR,5,5,4,4,31,31,2,4,0,0,0,0,669.94,0,0
25-Jul,CFE,R&IC,,9,NFR,5,5,4,4,6,6,1,4,0,0,0,0,670.662,0,0
25-Aug,CFE,R&IC,,9,NFR,5,5,4,4,13,13,2,4,0,0,0,0,672.53,0,0
25-Sep,CFE,R&IC,,9,NFR,5,5,4,4,13,13,2,4,0,0,0,0,672.988,0,0
25-Mar,CFE,T&C,,11,TALENT MANAGEMENT,21,16,15,16,17,18,13,18,4,0,0,4,3.409.461,0,0
25-Apr,CFE,T&C,,11,TALENT MANAGEMENT,23,17,15,17,5,11,12.5,18,4,0,0,4,3.306.008,0,0
25-May,CFE,T&C,,11,TALENT MANAGEMENT,23,20,13,15,19,20,14.5,20,4,0,0,4,2.100.606,0,0
25-Jun,CFE,T&C,,11,TALENT MANAGEMENT,23,23,14,15,35,35,15,20,3,0,0,3,2.117.471,0,0
25-Jul,CFE,T&C,,11,TALENT MANAGEMENT,23,23,14,15,1,2,15,21,0,0,0,0,1.942.402,0,0
25-Aug,CFE,T&C,,11,TALENT MANAGEMENT,24,24,15,16,2,6,18,20,0,0,0,0,1.942.191,0,0
25-Sep,CFE,T&C,,11,TALENT MANAGEMENT,24,24,15,16,2,6,18,20,0,0,0,0,2.056.408,0,0
25-Mar,CFE,AUD.LEGAL&CHAIRMAN UNITS,,12,"LEGAL, FUNDACION BBVA",23,19,15,16,13,13,11,16,1038,0,0,1038,4.143.115,0,0
25-Apr,CFE,AUD.LEGAL&CHAIRMAN UNITS,,12,"LEGAL, FUNDACION BBVA",23,18,15,16,3,3,11,16,995,0,0,995,3.518.239,0,0
25-May,CFE,AUD.LEGAL&CHAIRMAN UNITS,,12,"LEGAL, FUNDACION BBVA",23,17,15,16,12,12,11.5,16,78,0,0,78,2.380.326,0,0
25-Jun,CFE,AUD.LEGAL&CHAIRMAN UNITS,,12,"LEGAL, FUNDACION BBVA",22,21,15,16,21,24,10.5,16,78,0,0,78,2.393.655,0,0
25-Jul,CFE,AUD.LEGAL&CHAIRMAN UNITS,,12,"LEGAL, FUNDACION BBVA",22,21,15,16,3,3,11.5,15,1,0,0,1,2.387.695,0,0
25-Aug,CFE,AUD.LEGAL&CHAIRMAN UNITS,,12,"LEGAL, FUNDACION BBVA",23,21,15,17,10,10,11,14,1,0,0,1,2.387.728,0,0
25-Sep,CFE,AUD.LEGAL&CHAIRMAN UNITS,,12,"LEGAL, FUNDACION BBVA",23,21,15,17,10,10,11,14,1,0,0,1,2.387.897,0,0
25-Mar,CFE,AUD.LEGAL&CHAIRMAN UNITS,,13,AUDIT,6,6,5,5,2,2,4,5,6,0,0,6,660.774,0,0
25-Apr,CFE,AUD.LEGAL&CHAIRMAN UNITS,,13,AUDIT,6,6,5,5,0,0,4,4,6,0,0,6,660.774,0,0
25-May,CFE,AUD.LEGAL&CHAIRMAN UNITS,,13,AUDIT,6,6,5,5,1,1,4,5,6,0,0,6,660.774,0,0
25-Jun,CFE,AUD.LEGAL&CHAIRMAN UNITS,,13,AUDIT,6,6,5,5,4,4,3,5,6,0,0,6,601.971,0,0
25-Jul,CFE,AUD.LEGAL&CHAIRMAN UNITS,,13,AUDIT,6,6,5,5,0,0,4.5,5,6,0,0,6,601.971,0,0
25-Aug,CFE,AUD.LEGAL&CHAIRMAN UNITS,,13,AUDIT,6,6,5,5,0,0,3.5,5,6,0,0,6,601.971,0,0
25-Sep,CFE,AUD.LEGAL&CHAIRMAN UNITS,,13,AUDIT,6,6,5,5,0,0,3.5,5,0,0,0,0,604.317,0,0
25-Mar,CFE,AUD.LEGAL&CHAIRMAN UNITS,,16,OTHERS NO CFE,4,4,1,4,0,0,0,4,629,0,0,629,3.636.532,0,0
25-Apr,CFE,AUD.LEGAL&CHAIRMAN UNITS,,16,OTHERS NO CFE,3,3,3,3,0,0,0,3,88,0,0,88,3.272.416,0,0
25-May,CFE,AUD.LEGAL&CHAIRMAN UNITS,,16,OTHERS NO CFE,3,3,3,3,0,1,1,3,39,0,0,39,858.475,0,0
25-Jun,CFE,AUD.LEGAL&CHAIRMAN UNITS,,16,OTHERS NO CFE,3,3,3,3,0,1,1,3,39,0,0,39,853.533,0,0
25-Jul,CFE,AUD.LEGAL&CHAIRMAN UNITS,,16,OTHERS NO CFE,3,3,3,3,0,0,2,3,39,0,0,39,830.683,0,0
25-Aug,CFE,AUD.LEGAL&CHAIRMAN UNITS,,16,OTHERS NO CFE,3,3,3,3,0,0,1,3,39,0,0,39,830.709,0,0
25-Sep,CFE,AUD.LEGAL&CHAIRMAN UNITS,,16,OTHERS NO CFE,3,3,3,3,0,0,1,3,39,0,0,39,830.709,0,0
25-Mar,CFE,AUD.LEGAL&CHAIRMAN UNITS,,17,COMMS,20,16,12,16,9,10,9,14,90,0,0,90,2.659.425,0,0
25-Apr,CFE,AUD.LEGAL&CHAIRMAN UNITS,,17,COMMS,16,16,12,16,0,0,9,13,19,0,0,19,1.940.824,0,0
25-May,CFE,AUD.LEGAL&CHAIRMAN UNITS,,17,COMMS,16,16,10,11,1,1,10,13,19,0,0,19,1.635.055,0,0
25-Jun,CFE,AUD.LEGAL&CHAIRMAN UNITS,,17,COMMS,16,16,10,11,3,3,11,13,19,0,0,19,1.681.337,0,0
25-Jul,CFE,AUD.LEGAL&CHAIRMAN UNITS,,17,COMMS,17,15,11,12,0,0,10,16,43,0,0,43,1.782.468,0,0
25-Aug,CFE,AUD.LEGAL&CHAIRMAN UNITS,,17,COMMS,17,16,11,12,1,1,10,15,38,0,0,38,1.871.525,0,0
25-Sep,CFE,AUD.LEGAL&CHAIRMAN UNITS,,17,COMMS,17,16,11,12,1,1,10,15,13,0,0,13,1.865.474,0,0
25-Mar,CFE,AUD.LEGAL&CHAIRMAN UNITS,,18,ENGINEERING FOR ENGINEERING,15,13,8,15,17,17,5.5,11,65,0,0,65,3.191.491,0,0
25-Apr,CFE,AUD.LEGAL&CHAIRMAN UNITS,,18,ENGINEERING FOR ENGINEERING,14,13,8,15,2,3,5,10,65,0,0,65,3.196.392,0,0
25-May,CFE,AUD.LEGAL&CHAIRMAN UNITS,,18,ENGINEERING FOR ENGINEERING,14,12,14,14,5,6,7,11,1,0,0,1,1.729.447,0,0
25-Jun,CFE,AUD.LEGAL&CHAIRMAN UNITS,,18,ENGINEERING FOR ENGINEERING,14,14,14,14,15,16,9.5,11,1,0,0,1,1.796.687,0,0
25-Jul,CFE,AUD.LEGAL&CHAIRMAN UNITS,,18,ENGINEERING FOR ENGINEERING,14,14,14,14,0,0,9.5,13,1,0,0,1,1.800.503,0,0
25-Aug,CFE,AUD.LEGAL&CHAIRMAN UNITS,,18,ENGINEERING FOR ENGINEERING,14,14,14,14,4,4,10,13,1,0,0,1,1.851.798,0,0
25-Sep,CFE,AUD.LEGAL&CHAIRMAN UNITS,,18,ENGINEERING FOR ENGINEERING,14,14,14,14,4,4,10,13,1,0,0,1,1.856.160,0,0
25-Mar,CFE,R&IC,,20,COMPLIANCE,14,12,9,16,20,20,5,13,52,0,0,52,3.358.195,0,0
25-Apr,CFE,R&IC,,20,COMPLIANCE,13,11,8,15,6,6,8,14,21,0,0,21,3.106.015,0,0
25-May,CFE,R&IC,,20,COMPLIANCE,15,11,11,14,10,10,7.5,14,21,0,0,21,3.130.288,0,0
25-Jun,CFE,R&IC,,20,COMPLIANCE,13,12,10,12,11,11,6.5,14,7,0,0,7,3.083.941,0,0
25-Jul,CFE,R&IC,,20,COMPLIANCE,14,12,11,13,0,0,7.5,15,7,0,0,7,3.121.532,0,0
25-Aug,CFE,R&IC,,20,COMPLIANCE,15,12,11,14,0,0,8,13,7,0,0,7,3.133.609,0,0
25-Sep,CFE,R&IC,,20,COMPLIANCE,15,12,11,14,0,0,8,13,7,0,0,7,3.157.905,0,0
25-Mar,CFE,FINANCE,,27,REPORTING REGULATORIO,10,10,11,12,20,20,4,11,0,0,0,0,791.066,0,0
25-Apr,CFE,FINANCE,,27,REPORTING REGULATORIO,10,10,12,12,0,0,7,12,0,0,0,0,666.591,0,0
25-May,CFE,FINANCE,,27,REPORTING REGULATORIO,10,10,11,11,17,17,6.5,12,0,0,0,0,668.419,0,0
25-Jun,CFE,FINANCE,,27,REPORTING REGULATORIO,10,10,11,11,37,37,9,12,0,0,0,0,785.86,0,0
25-Jul,CFE,FINANCE,,27,REPORTING REGULATORIO,10,10,11,11,0,0,10.5,12,0,0,0,0,786.18,0,0
25-Aug,CFE,FINANCE,,27,REPORTING REGULATORIO,10,10,11,11,20,20,10.5,12,0,0,0,0,789.278,0,0
25-Sep,CFE,FINANCE,,27,REPORTING REGULATORIO,10,10,11,11,20,20,10.5,12,0,0,0,0,792.436,0,0
25-Mar,CFE,RISK,,28,OTHER RISKS,15,14,11,15,22,23,10,13,5,0,0,5,1.965.970,0,0
25-Apr,CFE,RISK,,28,OTHER RISKS,15,12,11,15,2,2,11,13,4,0,0,4,1.450.154,0,0
25-May,CFE,RISK,,28,OTHER RISKS,15,13,11,15,5,5,12.5,13,0,0,0,0,1.505.074,0,0
25-Jun,CFE,RISK,,28,OTHER RISKS,15,15,11,15,14,16,12.5,13,0,0,0,0,1.504.146,0,0
25-Jul,CFE,RISK,,28,OTHER RISKS,15,15,11,15,1,1,12,13,0,0,0,0,1.550.001,0,0
25-Aug,CFE,RISK,,28,OTHER RISKS,15,15,11,15,11,11,12,13,0,0,0,0,1.549.683,0,0
25-Sep,CFE,RISK,,28,OTHER RISKS,15,15,11,15,12,12,12,13,0,0,0,0,1.551.307,0,0
25-Mar,CFE,R&IC,,29,CONTROL INTERNAO DE RIESGOS,4,4,5,5,14,14,2,5,153,0,0,153,713.597,0,0
25-Apr,CFE,R&IC,,29,CONTROL INTERNAO DE RIESGOS,4,4,5,5,3,3,3,5,131,0,0,131,697.318,0,0
25-May,CFE,R&IC,,29,CONTROL INTERNAO DE RIESGOS,4,4,4,4,8,8,3,5,49,0,0,49,589.124,0,0
25-Jun,CFE,R&IC,,29,CONTROL INTERNAO DE RIESGOS,4,4,4,4,11,11,3,5,49,0,0,49,601.431,0,0
25-Jul,CFE,R&IC,,29,CONTROL INTERNAO DE RIESGOS,4,4,4,4,4,4,2,5,45,0,0,45,600.299,0,0
25-Aug,CFE,R&IC,,29,CONTROL INTERNAO DE RIESGOS,4,4,4,4,4,4,3.5,4,45,0,0,45,600.306,0,0
25-Sep,CFE,R&IC,,29,CONTROL INTERNAO DE RIESGOS,4,4,4,4,4,4,3.5,4,49,0,0,49,600.888,0,0
25-Mar,PERU,SYSTEMS,CORPORATE,30,COMPLIANCE,11,11,12,12,12,12,8,8,102,0,0,102,1.220.864,0,0
25-Apr,PERU,SYSTEMS,CORPORATE,30,COMPLIANCE,11,11,12,12,0,0,8,8,113,0,0,113,1.214.465,0,0
25-May,PERU,SYSTEMS,CORPORATE,30,COMPLIANCE,11,11,11,11,6,6,8,8,11,0,0,11,803.971,0,0
25-Jun,PERU,SYSTEMS,CORPORATE,30,COMPLIANCE,11,11,11,11,14,14,7,8,11,0,0,11,826.539,0,0
25-Jul,PERU,SYSTEMS,CORPORATE,30,COMPLIANCE,11,11,11,11,1,1,7,7,0,0,0,0,743.632,0,0
25-Aug,PERU,SYSTEMS,CORPORATE,30,COMPLIANCE,11,11,11,11,7,7,7,7,0,0,0,0,743.836,0,0
25-Sep,PERU,SYSTEMS,CORPORATE,30,COMPLIANCE,11,11,11,11,10,10,7,7,0,0,0,0,746.518,0,0
25-Mar,CFE,RISK,,31,WHOLESALE CREDIT RISK,11,10,10,10,81,83,9,11,0,0,0,0,1.857.257,0,0
25-Apr,CFE,RISK,,31,WHOLESALE CREDIT RISK,10,10,10,10,7,11,9,11,0,0,0,0,1.758.376,0,0
25-May,CFE,RISK,,31,WHOLESALE CREDIT RISK,10,10,9,9,43,49,9,11,0,0,0,0,1.762.253,0,0
25-Jun,CFE,RISK,,31,WHOLESALE CREDIT RISK,10,10,9,9,108,116,9,11,0,0,0,0,1.825.992,0,0
25-Jul,CFE,RISK,,31,WHOLESALE CREDIT RISK,10,10,9,9,11,11,9,11,0,0,0,0,1.817.905,0,0
25-Aug,CFE,RISK,,31,WHOLESALE CREDIT RISK,11,10,10,10,19,19,9,11,13,0,0,13,1.844.504,0,0
25-Sep,CFE,RISK,,31,WHOLESALE CREDIT RISK,11,10,10,10,21,21,9,11,13,0,0,13,1.845.535,0,0
25-Mar,RETAIL CLIENT SOLUTIONS,CROSS,OPTIMIZATION & FUNNEL HEALTH,32,OPTIMIZATION & FUNNEL HEALTH,9,9,4,4,0,0,4,6,2,0,0,2,170.812,0,0
25-Apr,RETAIL CLIENT SOLUTIONS,CROSS,OPTIMIZATION & FUNNEL HEALTH,32,OPTIMIZATION & FUNNEL HEALTH,9,9,4,4,0,0,5,6,2,0,0,2,209.62,0,0
25-May,RETAIL CLIENT SOLUTIONS,CROSS,OPTIMIZATION & FUNNEL HEALTH,32,OPTIMIZATION & FUNNEL HEALTH,10,8,4,5,0,0,5,7,2,0,0,2,267.145,0,0
25-Jun,RETAIL CLIENT SOLUTIONS,CROSS,OPTIMIZATION & FUNNEL HEALTH,32,OPTIMIZATION & FUNNEL HEALTH,10,10,3,4,0,0,7,9,0,0,0,0,294.033,0,0
25-Jul,RETAIL CLIENT SOLUTIONS,CROSS,OPTIMIZATION & FUNNEL HEALTH,32,OPTIMIZATION & FUNNEL HEALTH,10,10,3,4,0,0,7,9,0,0,0,0,294.107,0,0
25-Aug,RETAIL CLIENT SOLUTIONS,CROSS,OPTIMIZATION & FUNNEL HEALTH,32,OPTIMIZATION & FUNNEL HEALTH,10,10,3,4,0,0,7,9,0,0,0,0,294.289,0,0
25-Mar,CFE,FINANCE,,34,CONSOLIDACION REPORTING Y FISCAL,9,8,7,9,33,34,6,9,0,0,0,0,6.553.762,0,0
25-Apr,CFE,FINANCE,,34,CONSOLIDACION REPORTING Y FISCAL,11,9,8,10,1,1,9,13,0,0,0,0,7.466.906,0,0
25-May,CFE,FINANCE,,34,CONSOLIDACION REPORTING Y FISCAL,12,8,10,10,20,20,9.5,13,0,0,0,0,6.918.563,0,0
25-Jun,CFE,FINANCE,,34,CONSOLIDACION REPORTING Y FISCAL,12,10,10,10,41,41,8,13,0,0,0,0,6.865.948,0,0
25-Jul,CFE,FINANCE,,34,CONSOLIDACION REPORTING Y FISCAL,12,10,10,10,1,1,9.5,13,0,0,0,0,7.150.999,0,0
25-Aug,CFE,FINANCE,,34,CONSOLIDACION REPORTING Y FISCAL,12,10,9,10,20,20,10,13,0,0,0,0,7.351.205,0,0
25-Sep,CFE,FINANCE,,34,CONSOLIDACION REPORTING Y FISCAL,12,12,9,10,20,20,10,13,0,0,0,0,7.382.910,0,0
25-Mar,CFE,AUD.LEGAL&CHAIRMAN UNITS,,37,M&A,7,7,2,4,6,7,5,5,0,0,0,0,5.255,0,0
25-Apr,CFE,AUD.LEGAL&CHAIRMAN UNITS,,37,M&A,7,7,2,4,0,0,6,7,0,0,0,0,12.649,0,0
25-May,CFE,AUD.LEGAL&CHAIRMAN UNITS,,37,M&A,7,7,1,1,0,0,6.5,7,0,0,0,0,12.649,0,0
25-Jun,CFE,AUD.LEGAL&CHAIRMAN UNITS,,37,M&A,8,8,2,2,7,12,6,7,0,0,0,0,64.684,0,0
25-Jul,CFE,AUD.LEGAL&CHAIRMAN UNITS,,37,M&A,8,8,2,2,2,2,6,7,0,0,0,0,64.684,0,0
25-Aug,CFE,AUD.LEGAL&CHAIRMAN UNITS,,37,M&A,10,9,4,4,5,5,6,7,0,0,0,0,67.775,0,0
25-Sep,CFE,AUD.LEGAL&CHAIRMAN UNITS,,37,M&A,9,9,3,3,8,8,5,6,0,0,0,0,67.794,0,0
25-Mar,CFE,RISK,,38,ESG & REPORTING & ANALYTICS,6,5,1,9,68,68,2,8,0,0,0,0,1.094.187,0,0
25-Apr,CFE,RISK,,38,ESG & REPORTING & ANALYTICS,5,5,1,9,6,6,2.5,9,0,0,0,0,805.761,0,0
25-May,CFE,RISK,,38,ESG & REPORTING & ANALYTICS,8,7,9,9,27,28,4,10,0,0,0,0,809.126,0,0
25-Jun,CFE,RISK,,38,ESG & REPORTING & ANALYTICS,8,7,9,9,62,62,5,10,0,0,0,0,1.082.578,0,0
25-Jul,CFE,RISK,,38,ESG & REPORTING & ANALYTICS,8,7,9,9,13,14,5,10,0,0,0,0,1.210.182,0,0
25-Aug,CFE,RISK,,38,ESG & REPORTING & ANALYTICS,8,7,9,9,22,23,5,10,0,0,0,0,1.219.438,0,0
25-Sep,CFE,RISK,,38,ESG & REPORTING & ANALYTICS,8,6,9,9,25,28,5,10,0,0,0,0,1.103.357,0,0
25-Mar,PERU,SYSTEMS,RISK,39,RISKS,19,5,5,19,49,51,8,15,650,0,0,650,5.783.218,0,0
25-Apr,PERU,SYSTEMS,RISK,39,RISKS,19,13,6,19,3,3,9,15,1756,0,0,1756,5.083.162,0,0
25-May,PERU,SYSTEMS,RISK,39,RISKS,20,14,6,20,12,12,9,15,885,0,0,885,3.514.242,0,0
25-Jun,PERU,SYSTEMS,RISK,39,RISKS,20,19,6,20,58,60,12,16,381,0,0,381,3.158.751,0,0
25-Jul,PERU,SYSTEMS,RISK,39,RISKS,20,20,6,20,6,7,15,17,85,0,0,85,2.900.848,0,0
25-Aug,PERU,SYSTEMS,RISK,39,RISKS,20,20,6,20,32,33,15,17,259,0,0,259,3.178.398,0,0
25-Mar,CIB,CIB ENGINEERING,SW DELIVERY,40,RISKS,26,23,20,25,77,88,5,18,405,0,0,405,12.906.096,0,0
25-Apr,CIB,CIB ENGINEERING,SW DELIVERY,40,RISKS,25,24,20,25,36,40,6,17,596,0,0,596,8.997.361,0,0
25-Mar,CFE,T&C,,41,PREMISES & SERVICES,24,20,19,21,1,1,14,18,342,0,0,342,2.598.303,0,0
25-Apr,CFE,T&C,,41,PREMISES & SERVICES,19,19,19,21,2,5,15,19,151,0,0,151,1.688.898,0,0
25-May,CFE,T&C,,41,PREMISES & SERVICES,21,20,17,18,5,5,15,19,151,0,0,151,1.823.311,0,0
25-Jun,CFE,T&C,,41,PREMISES & SERVICES,21,21,17,18,19,19,15,18,142,0,0,142,1.517.268,0,0
25-Jul,CFE,T&C,,41,PREMISES & SERVICES,22,21,17,19,2,2,16,18,138,0,0,138,1.516.733,0,0
25-Aug,CFE,T&C,,41,PREMISES & SERVICES,24,21,19,21,11,11,16,19,123,0,0,123,1.479.285,0,0
25-Sep,CFE,T&C,,41,PREMISES & SERVICES,24,22,19,21,12,12,16,19,121,0,0,121,1.481.343,0,0
25-Mar,CFE,FINANCE,,42,PROCUREMENT,6,5,5,5,2,2,3,4,0,0,0,0,743.822,0,0
25-Apr,CFE,FINANCE,,42,PROCUREMENT,6,6,5,5,0,0,2,6,0,0,0,0,743.625,0,0
25-May,CFE,FINANCE,,42,PROCUREMENT,6,6,5,5,2,2,3,6,384,0,0,384,1.227.943,0,0
25-Jun,CFE,FINANCE,,42,PROCUREMENT,6,6,5,5,3,3,3,6,140,0,0,140,705.211,0,0
25-Jul,CFE,FINANCE,,42,PROCUREMENT,6,6,5,5,1,1,3,6,140,0,0,140,705.628,0,0
25-Aug,CFE,FINANCE,,42,PROCUREMENT,6,6,5,5,2,2,4,6,140,0,0,140,705.628,0,0
25-Sep,CFE,FINANCE,,42,PROCUREMENT,6,6,5,5,2,2,4,6,132,0,0,132,705.628,0,0
25-Mar,CFE,FINANCE,,43,INVEST & COST MANAGEMENT,6,6,6,6,31,36,2,6,0,0,0,0,2.187.497,0,0
25-Apr,CFE,FINANCE,,43,INVEST & COST MANAGEMENT,5,5,5,5,6,6,2,5,0,0,0,0,1.500.835,0,0
25-May,CFE,FINANCE,,43,INVEST & COST MANAGEMENT,5,5,5,5,15,15,1,5,0,0,0,0,1.503.069,0,0
25-Jun,CFE,FINANCE,,43,INVEST & COST MANAGEMENT,5,5,5,5,33,33,1,5,0,0,0,0,1.507.931,0,0
25-Jul,CFE,FINANCE,,43,INVEST & COST MANAGEMENT,5,5,5,5,8,8,2,5,0,0,0,0,1.577.970,0,0
25-Aug,CFE,FINANCE,,43,INVEST & COST MANAGEMENT,5,5,5,5,19,19,2,5,0,0,0,0,1.583.103,0,0
25-Sep,CFE,FINANCE,,43,INVEST & COST MANAGEMENT,5,5,5,5,19,19,2,5,0,0,0,0,1.583.504,0,0
25-Mar,CFE,FINANCE,,45,RENTABILIDAD & PERFORMANCE MANAGEMENT,3,3,4,4,73,73,1,3,1,0,0,1,121.72,0,0
25-Apr,CFE,FINANCE,,45,RENTABILIDAD & PERFORMANCE MANAGEMENT,3,3,4,4,11,11,1.5,3,0,0,0,0,56.216,0,0
25-May,CFE,FINANCE,,45,RENTABILIDAD & PERFORMANCE MANAGEMENT,3,3,4,4,39,39,1,3,0,0,0,0,53.039,0,0
25-Jun,CFE,FINANCE,,45,RENTABILIDAD & PERFORMANCE MANAGEMENT,3,3,4,4,66,66,2,3,8,0,0,8,100.16,0,0
25-Jul,CFE,FINANCE,,45,RENTABILIDAD & PERFORMANCE MANAGEMENT,3,3,4,4,7,7,2,3,1,0,0,1,102.484,0,0
25-Aug,CFE,FINANCE,,45,RENTABILIDAD & PERFORMANCE MANAGEMENT,3,2,4,4,31,31,2,3,0,0,0,0,99.299,0,0
25-Sep,CFE,FINANCE,,45,RENTABILIDAD & PERFORMANCE MANAGEMENT,3,2,4,4,32,32,2,3,0,0,0,0,96.911,0,0
25-Mar,CFE,RISK,,46,CAPITAL,10,10,5,10,38,39,6.5,8,0,0,0,0,709.155,0,0
25-Apr,CFE,RISK,,46,CAPITAL,10,9,5,10,12,12,6.5,8,0,0,0,0,529.426,0,0
25-May,CFE,RISK,,46,CAPITAL,10,10,5,10,30,30,6,8,0,0,0,0,517.078,0,0
25-Jun,CFE,RISK,,46,CAPITAL,10,10,5,10,59,60,6,8,0,0,0,0,622.315,0,0
25-Jul,CFE,RISK,,46,CAPITAL,10,10,5,10,7,7,6,8,0,0,0,0,623.833,0,0
25-Aug,CFE,RISK,,46,CAPITAL,11,10,5,11,19,19,6.5,8,0,0,0,0,621.366,0,0
25-Sep,CFE,RISK,,46,CAPITAL,11,10,5,11,19,19,6.5,8,0,0,0,0,623.481,0,0
25-Mar,CFE,T&C,,47,WORKFORCE ADMINISTRATION,2,2,1,1,9,9,1,2,13,0,0,13,591.804,0,0
25-Apr,CFE,T&C,,47,WORKFORCE ADMINISTRATION,2,2,1,1,0,0,1,2,9,0,0,9,571.343,0,0
25-May,CFE,T&C,,47,WORKFORCE ADMINISTRATION,2,2,1,1,5,5,1,2,4,0,0,4,457.563,0,0
25-Jun,CFE,T&C,,47,WORKFORCE ADMINISTRATION,2,2,1,1,13,15,1,2,4,0,0,4,457.563,0,0
25-Jul,CFE,T&C,,47,WORKFORCE ADMINISTRATION,2,2,1,1,3,3,2,2,4,0,0,4,457.563,0,0
25-Aug,CFE,T&C,,47,WORKFORCE ADMINISTRATION,2,2,1,1,4,4,2,2,4,0,0,4,457.563,0,0
25-Sep,CFE,T&C,,47,WORKFORCE ADMINISTRATION,2,2,1,1,5,5,2,2,4,0,0,4,457.563,0,0
