ID_SOT,Estado SOT,Fecha Creacion,Fecha Factibilidad,Fecha Atendido Rechazado,ID Rechazo,Departamento,Provincia,Distrito,Region
1000020,Atendido,04/11/2022 04:54,06/11/2022 04:54,10/11/2022 04:54,,Ancash,Ocros,Carhuapampa,Centro
1000021,Atendido,14/01/2022 20:45,14/01/2022 20:45,18/01/2022 20:45,,Apurimac,Grau,Santa Rosa,Sur
1000022,Atendido,17/12/2022 00:07,19/12/2022 00:07,26/12/2022 00:07,,San Martin,San Martin,Shapaja,Norte
1000023,Duplicado/Riesgo/Fraude,21/09/2022 15:31,Sin Información,23/09/2022 15:31,9,Lima,Lima,Villa El Salvador,Lima
1000024,Pendiente,06/02/2022 04:46,Sin Información,Sin Información,,Ayacucho,Victor Fajardo,Vilcanchos,Centro
1000025,Duplicado/Riesgo/Fraude,13/05/2022 06:51,Sin Información,15/05/2022 06:51,49,Cajamarca,Cajabamba,Cachachi,Norte
1000026,Rechazado,08/05/2022 08:33,11/05/2022 08:33,17/05/2022 08:33,89,Cusco,Espinar,Condoroma,Sur
1000027,Pendiente,09/02/2022 05:01,Sin Información,Sin Información,,Ayacucho,Vilcas Huaman,Carhuanca,Centro
1000028,Atendido,05/01/2022 20:09,06/01/2022 20:09,08/01/2022 20:09,,Cajamarca,Santa Cruz,Catache,Norte
1000029,Duplicado/Riesgo/Fraude,26/01/2022 05:06,Sin Información,29/01/2022 05:06,9,Puno,Puno,Huata,Sur
1000030,Pendiente,11/08/2022 08:23,Sin Información,Sin Información,,Piura,Ayabaca,Frias,Norte
1000031,Atendido,25/08/2022 13:37,28/08/2022 13:37,02/09/2022 13:37,,Huancavelica,Acobamba,Andabamba,Centro
1000032,Duplicado/Riesgo/Fraude,30/08/2022 18:09,Sin Información,04/09/2022 18:09,8,Amazonas,Luya,Inguilpata,Norte
1000033,Duplicado/Riesgo/Fraude,06/07/2022 13:01,Sin Información,08/07/2022 13:01,61,Cajamarca,Contumaza,Tantarica,Norte
1000034,Duplicado/Riesgo/Fraude,13/03/2022 19:32,Sin Información,18/03/2022 19:32,26,Amazonas,Bongara,Shipasbamba,Norte
1000035,Duplicado/Riesgo/Fraude,09/08/2022 06:45,Sin Información,13/08/2022 06:45,43,Ancash,Aija,La Merced,Centro
1000036,Pendiente,13/04/2022 04:48,13/04/2022 04:48,Sin Información,,Lima,Huarochiri,San Juan De Iris,Lima
1000037,Duplicado/Riesgo/Fraude,27/04/2022 07:50,Sin Información,01/05/2022 07:50,52,La Libertad,Pacasmayo,San Jose,Norte
1000038,Rechazado,12/02/2022 19:42,13/02/2022 19:42,27/02/2022 19:42,34,Arequipa,Caylloma,Majes,Sur
1000039,Duplicado/Riesgo/Fraude,27/08/2022 10:19,Sin Información,29/08/2022 10:19,24,Pasco,Daniel Alcides Carrion,Tapuc,Centro
1000040,Duplicado/Riesgo/Fraude,30/08/2022 16:44,Sin Información,31/08/2022 16:44,17,Huancavelica,Churcampa,El Carmen,Centro
1000041,Rechazado,12/10/2022 21:54,12/10/2022 21:54,18/10/2022 21:54,46,San Martin,Lamas,Rumisapa,Norte
1000042,Rechazado,06/10/2022 07:59,09/10/2022 07:59,17/10/2022 07:59,95,Lima,Cañete,Quilmana,Lima
1000043,Pendiente,27/02/2022 04:07,Sin Información,Sin Información,,Junin,Jauja,Paca,Centro
1000044,Atendido,15/05/2022 09:11,15/05/2022 09:11,18/05/2022 09:11,,Puno,El Collao,Conduriri,Sur
1000045,Atendido,10/02/2022 05:07,10/02/2022 05:07,17/02/2022 05:07,,Lima,Huarochiri,Mariatana,Lima
1000046,Atendido,11/03/2022 18:02,11/03/2022 18:02,15/03/2022 18:02,,Arequipa,Castilla,Andagua,Sur
1000047,Duplicado/Riesgo/Fraude,31/10/2022 15:25,Sin Información,01/11/2022 15:25,6,Cusco,Espinar,Pichigua,Sur
1000048,Pendiente,02/08/2022 10:49,03/08/2022 10:49,Sin Información,,Loreto,Loreto,Parinari,Norte
1000049,Atendido,02/06/2022 04:03,02/06/2022 04:03,15/06/2022 04:03,,Ancash,Huaraz,Tarica,Centro
1000050,Duplicado/Riesgo/Fraude,18/03/2022 20:50,Sin Información,22/03/2022 20:50,51,San Martin,Picota,San Cristobal,Norte
1000051,Atendido,02/03/2022 00:10,02/03/2022 00:10,09/03/2022 00:10,,Junin,Jauja,Yauli,Centro
1000052,Duplicado/Riesgo/Fraude,16/12/2022 11:56,Sin Información,20/12/2022 11:56,9,Ica,Ica,Tate,Sur
1000053,Duplicado/Riesgo/Fraude,30/07/2022 21:55,Sin Información,31/07/2022 21:55,16,La Libertad,Julcan,Calamarca,Norte
1000054,Rechazado,04/09/2022 05:38,04/09/2022 05:38,10/09/2022 05:38,18,Ayacucho,Cangallo,Cangallo,Centro
1000055,Duplicado/Riesgo/Fraude,10/07/2022 00:16,Sin Información,12/07/2022 00:16,1,Junin,Chupaca,Chongos Bajo,Centro
1000056,Atendido,10/05/2022 00:46,12/05/2022 00:46,22/05/2022 00:46,,San Martin,San Martin,Juan Guerra,Norte
1000057,Rechazado,20/10/2022 13:44,20/10/2022 13:44,23/10/2022 13:44,22,Piura,Talara,Pariñas,Norte
1000058,Rechazado,27/05/2022 21:08,27/05/2022 21:08,30/05/2022 21:08,82,Arequipa,Islay,Dean Valdivia,Sur
1000059,Pendiente,19/08/2022 07:25,22/08/2022 07:25,Sin Información,,Huancavelica,Huaytara,Tambo,Centro
1000060,Pendiente,10/04/2022 22:56,10/04/2022 22:56,Sin Información,,Apurimac,Andahuaylas,Kaquiabamba,Sur
1000061,Atendido,30/08/2022 18:59,30/08/2022 18:59,14/09/2022 18:59,,Piura,Piura,Veintiseis De Octubre,Norte
1000062,Rechazado,12/04/2022 23:17,15/04/2022 23:17,19/04/2022 23:17,69,Huanuco,Ambo,Conchamarca,Centro
1000063,Pendiente,30/11/2022 05:04,03/12/2022 05:04,Sin Información,,Arequipa,Castilla,Machaguay,Sur
1000064,Atendido,02/07/2022 16:12,03/07/2022 16:12,08/07/2022 16:12,,Cusco,Espinar,Ocoruro,Sur
1000065,Rechazado,10/12/2022 08:19,12/12/2022 08:19,18/12/2022 08:19,37,Arequipa,Camana,Jose Maria Quimper,Sur
1000066,Rechazado,16/04/2022 02:03,16/04/2022 02:03,29/04/2022 02:03,33,Cajamarca,Chota,Chimban,Norte
1000067,Rechazado,09/07/2022 14:09,09/07/2022 14:09,24/07/2022 14:09,12,Ancash,Huaraz,Tarica,Centro
1000068,Duplicado/Riesgo/Fraude,12/02/2022 12:58,Sin Información,16/02/2022 12:58,46,Junin,Satipo,Pampa Hermosa,Centro
1000069,Pendiente,06/10/2022 06:48,Sin Información,Sin Información,,Arequipa,Caylloma,Huanca,Sur
1000070,Atendido,26/06/2022 22:50,26/06/2022 22:50,05/07/2022 22:50,,Tacna,Tacna,Palca,Sur
1000071,Rechazado,08/04/2022 14:30,08/04/2022 14:30,10/04/2022 14:30,62,Huanuco,Pachitea,Panao,Centro
1000072,Duplicado/Riesgo/Fraude,09/08/2022 01:32,Sin Información,14/08/2022 01:32,82,Lima,Yauyos,Lincha,Lima
1000073,Rechazado,27/04/2022 03:33,27/04/2022 03:33,08/05/2022 03:33,47,Ayacucho,Paucar Del Sara Sara,Corculla,Centro
1000074,Rechazado,28/01/2022 23:43,28/01/2022 23:43,02/02/2022 23:43,39,Huanuco,Huanuco,San Francisco De Cayran,Centro
1000075,Atendido,15/12/2022 16:58,15/12/2022 16:58,17/12/2022 16:58,,Ancash,Huaraz,Jangas,Centro
1000076,Pendiente,17/12/2022 18:21,17/12/2022 18:21,Sin Información,,Lima,Lima,Cieneguilla,Lima
1000077,Rechazado,07/01/2022 08:51,09/01/2022 08:51,15/01/2022 08:51,12,Cajamarca,Santa Cruz,Uticyacu,Norte
1000078,Duplicado/Riesgo/Fraude,21/02/2022 12:00,Sin Información,26/02/2022 12:00,20,Lima,Huarochiri,San Juan De Iris,Lima
1000079,Pendiente,08/08/2022 22:34,Sin Información,Sin Información,,Tumbes,Zarumilla,Matapalo,Norte
1000080,Duplicado/Riesgo/Fraude,18/01/2022 23:18,Sin Información,21/01/2022 23:18,61,Cajamarca,San Miguel,Llapa,Norte
1000081,Pendiente,15/02/2022 18:56,18/02/2022 18:56,Sin Información,,Lima,Canta,Huamantanga,Lima
1000082,Duplicado/Riesgo/Fraude,06/09/2022 12:45,Sin Información,08/09/2022 12:45,71,San Martin,San Martin,Chipurana,Norte
1000083,Rechazado,22/03/2022 00:06,24/03/2022 00:06,30/03/2022 00:06,3,Ica,Pisco,Huancano,Sur
1000084,Rechazado,12/06/2022 16:45,13/06/2022 16:45,20/06/2022 16:45,90,Huanuco,Lauricocha,San Francisco De Asis,Centro
1000085,Pendiente,07/06/2022 08:32,Sin Información,Sin Información,,Amazonas,Rodriguez De Mendoza,Santa Rosa,Norte
1000086,Pendiente,17/02/2022 19:19,Sin Información,Sin Información,,Ancash,Bolognesi,Antonio Raymondi,Centro
1000087,Atendido,10/08/2022 02:03,10/08/2022 02:03,12/08/2022 02:03,,Huanuco,Dos De Mayo,Sillapata,Centro
1000088,Rechazado,30/04/2022 07:53,30/04/2022 07:53,05/05/2022 07:53,63,Huancavelica,Tayacaja,Surcubamba,Centro
1000089,Duplicado/Riesgo/Fraude,19/10/2022 11:40,Sin Información,20/10/2022 11:40,85,Huanuco,Marañon,San Buenaventura,Centro
1000090,Duplicado/Riesgo/Fraude,29/03/2022 22:29,Sin Información,03/04/2022 22:29,50,Amazonas,Bagua,La Peca,Norte
1000091,Rechazado,01/01/2022 15:22,02/01/2022 15:22,13/01/2022 15:22,62,Junin,Huancayo,Sicaya,Centro
1000092,Duplicado/Riesgo/Fraude,28/03/2022 17:38,Sin Información,30/03/2022 17:38,82,Huancavelica,Castrovirreyna,Chupamarca,Centro
1000093,Duplicado/Riesgo/Fraude,13/08/2022 04:45,Sin Información,17/08/2022 04:45,9,Amazonas,Bongara,Jumbilla,Norte
1000094,Pendiente,13/10/2022 15:52,16/10/2022 15:52,Sin Información,,La Libertad,Pataz,Urpay,Norte
1000095,Duplicado/Riesgo/Fraude,07/05/2022 03:54,Sin Información,11/05/2022 03:54,72,Ancash,Pallasca,Cabana,Centro
1000096,Rechazado,05/02/2022 21:37,05/02/2022 21:37,13/02/2022 21:37,72,Amazonas,Utcubamba,Lonya Grande,Norte
1000097,Atendido,06/05/2022 11:07,09/05/2022 11:07,18/05/2022 11:07,,Junin,Huancayo,El Tambo,Centro
1000098,Rechazado,07/09/2022 02:24,08/09/2022 02:24,23/09/2022 02:24,85,Huancavelica,Huancavelica,Izcuchaca,Centro
1000099,Atendido,27/03/2022 23:50,27/03/2022 23:50,03/04/2022 23:50,,Ucayali,Atalaya,Sepahua,Centro
1000100,Pendiente,15/11/2022 01:21,Sin Información,Sin Información,,Amazonas,Bongara,Recta,Norte
1000101,Pendiente,05/07/2022 08:34,07/07/2022 08:34,Sin Información,,Cusco,Acomayo,Pomacanchi,Sur
1000102,Atendido,21/05/2022 11:45,21/05/2022 11:45,25/05/2022 11:45,,Amazonas,Chachapoyas,Cheto,Norte
1000103,Duplicado/Riesgo/Fraude,02/11/2022 22:00,Sin Información,07/11/2022 22:00,46,Apurimac,Andahuaylas,Talavera,Sur
1000104,Duplicado/Riesgo/Fraude,23/04/2022 20:18,Sin Información,27/04/2022 20:18,79,Ancash,Bolognesi,Abelardo Pardo Lezameta,Centro
1000105,Rechazado,18/09/2022 09:01,21/09/2022 09:01,27/09/2022 09:01,32,Apurimac,Andahuaylas,San Miguel De Chaccrampa,Sur
1000106,Pendiente,05/06/2022 13:14,Sin Información,Sin Información,,Cajamarca,Contumaza,Guzmango,Norte
1000107,Pendiente,03/05/2022 10:35,Sin Información,Sin Información,,Lambayeque,Chiclayo,Eten Puerto,Norte
1000108,Duplicado/Riesgo/Fraude,10/10/2022 00:19,Sin Información,13/10/2022 00:19,56,Amazonas,Condorcanqui,El Cenepa,Norte
1000109,Atendido,28/04/2022 19:11,29/04/2022 19:11,14/05/2022 19:11,,Cajamarca,Chota,Lajas,Norte
1000110,Rechazado,14/01/2022 20:31,14/01/2022 20:31,22/01/2022 20:31,94,Amazonas,Chachapoyas,Montevideo,Norte
1000111,Duplicado/Riesgo/Fraude,03/12/2022 23:31,Sin Información,06/12/2022 23:31,26,Huanuco,Huanuco,Santa Maria Del Valle,Centro
1000112,Atendido,05/09/2022 14:04,05/09/2022 14:04,19/09/2022 14:04,,Huanuco,Ambo,Conchamarca,Centro
1000113,Rechazado,22/10/2022 18:50,22/10/2022 18:50,25/10/2022 18:50,96,San Martin,San Martin,Papaplaya,Norte
1000114,Atendido,09/02/2022 09:53,09/02/2022 09:53,13/02/2022 09:53,,Apurimac,Andahuaylas,Chiara,Sur
1000115,Duplicado/Riesgo/Fraude,26/09/2022 12:59,Sin Información,30/09/2022 12:59,6,Amazonas,Luya,Colcamar,Norte
1000116,Rechazado,22/11/2022 08:35,22/11/2022 08:35,24/11/2022 08:35,74,Puno,Huancane,Rosaspata,Sur
1000117,Rechazado,03/02/2022 20:17,06/02/2022 20:17,17/02/2022 20:17,7,Piura,Ayabaca,Jilili,Norte
1000118,Pendiente,18/10/2022 11:02,19/10/2022 11:02,Sin Información,,Lima,Canta,Santa Rosa De Quives,Lima
1000119,Duplicado/Riesgo/Fraude,08/05/2022 13:09,Sin Información,11/05/2022 13:09,36,San Martin,San Martin,Morales,Norte
1000120,Rechazado,10/05/2022 22:47,10/05/2022 22:47,22/05/2022 22:47,53,Cusco,Acomayo,Acos,Sur
1000121,Rechazado,09/01/2022 07:43,11/01/2022 07:43,20/01/2022 07:43,34,Puno,Puno,Chucuito,Sur
1000122,Atendido,26/07/2022 22:19,28/07/2022 22:19,03/08/2022 22:19,,Ica,Ica,Ocucaje,Sur
1000123,Atendido,28/01/2022 08:00,31/01/2022 08:00,07/02/2022 08:00,,Piura,Huancabamba,San Miguel De El Faique,Norte
1000124,Duplicado/Riesgo/Fraude,20/06/2022 11:42,Sin Información,25/06/2022 11:42,66,Loreto,Datem Del Marañon,Pastaza,Norte
1000125,Duplicado/Riesgo/Fraude,18/09/2022 22:23,Sin Información,20/09/2022 22:23,41,Apurimac,Abancay,San Pedro De Cachora,Sur
1000126,Atendido,05/01/2022 07:56,07/01/2022 07:56,17/01/2022 07:56,,Huanuco,Dos De Mayo,Yanas,Centro
1000127,Duplicado/Riesgo/Fraude,26/12/2022 17:51,Sin Información,27/12/2022 17:51,8,Pasco,Oxapampa,Pozuzo,Centro
1000128,Pendiente,17/12/2022 19:07,18/12/2022 19:07,Sin Información,,Amazonas,Luya,Lonya Chico,Norte
1000129,Pendiente,24/06/2022 23:50,26/06/2022 23:50,Sin Información,,Arequipa,Arequipa,Arequipa,Sur
1000130,Rechazado,25/06/2022 11:47,28/06/2022 11:47,04/07/2022 11:47,60,Ancash,Mariscal Luzuriaga,Musga,Centro
1000131,Pendiente,16/01/2022 17:34,Sin Información,Sin Información,,Apurimac,Chincheros,El Porvenir,Sur
1000132,Pendiente,07/04/2022 20:51,Sin Información,Sin Información,,Cajamarca,Celendin,Celendin,Norte
1000133,Duplicado/Riesgo/Fraude,10/06/2022 04:17,Sin Información,14/06/2022 04:17,36,Cusco,Quispicanchi,Ocongate,Sur
1000134,Pendiente,18/04/2022 15:58,Sin Información,Sin Información,,Huancavelica,Castrovirreyna,Castrovirreyna,Centro
1000135,Duplicado/Riesgo/Fraude,29/11/2022 16:22,Sin Información,03/12/2022 16:22,40,San Martin,San Martin,Morales,Norte
1000136,Rechazado,25/06/2022 22:04,28/06/2022 22:04,09/07/2022 22:04,14,Puno,Yunguyo,Cuturapi,Sur
1000137,Duplicado/Riesgo/Fraude,12/06/2022 04:38,Sin Información,17/06/2022 04:38,9,Puno,Puno,Pichacani,Sur
1000138,Atendido,03/12/2022 05:07,06/12/2022 05:07,18/12/2022 05:07,,Lima,Huaral,Huaral,Lima
1000139,Duplicado/Riesgo/Fraude,01/11/2022 12:48,Sin Información,05/11/2022 12:48,37,La Libertad,Bolivar,Bambamarca,Norte
1000140,Pendiente,22/08/2022 02:34,24/08/2022 02:34,Sin Información,,Junin,Jauja,Masma Chicche,Centro
1000141,Atendido,21/08/2022 02:33,24/08/2022 02:33,06/09/2022 02:33,,Cajamarca,Celendin,Oxamarca,Norte
1000142,Rechazado,26/10/2022 04:18,26/10/2022 04:18,28/10/2022 04:18,33,Puno,Melgar,Nuñoa,Sur
1000143,Rechazado,24/08/2022 00:13,24/08/2022 00:13,03/09/2022 00:13,67,Huancavelica,Castrovirreyna,Cocas,Centro
1000144,Atendido,18/06/2022 09:43,19/06/2022 09:43,04/07/2022 09:43,,Junin,Yauli,Paccha,Centro
1000145,Atendido,28/02/2022 11:46,03/03/2022 11:46,11/03/2022 11:46,,Cajamarca,Santa Cruz,Pulan,Norte
1000146,Duplicado/Riesgo/Fraude,17/01/2022 20:03,Sin Información,18/01/2022 20:03,85,Junin,Yauli,Huay-Huay,Centro
1000147,Atendido,12/09/2022 15:58,12/09/2022 15:58,25/09/2022 15:58,,Junin,Tarma,Palcamayo,Centro
1000148,Atendido,26/05/2022 13:33,29/05/2022 13:33,11/06/2022 13:33,,Ica,Nasca,Nasca,Sur
1000149,Pendiente,30/10/2022 03:15,01/11/2022 03:15,Sin Información,,Lima,Lima,Santiago De Surco,Lima
1000150,Rechazado,09/11/2022 05:21,09/11/2022 05:21,22/11/2022 05:21,16,Ancash,Huaraz,Pariacoto,Centro
1000151,Rechazado,15/02/2022 01:31,15/02/2022 01:31,17/02/2022 01:31,78,Lima,Yauyos,Hongos,Lima
1000152,Rechazado,20/05/2022 17:11,20/05/2022 17:11,28/05/2022 17:11,4,Cajamarca,San Miguel,Catilluc,Norte
1000153,Duplicado/Riesgo/Fraude,25/04/2022 02:23,Sin Información,30/04/2022 02:23,10,Huanuco,Pachitea,Panao,Centro
1000154,Atendido,19/12/2022 06:30,20/12/2022 06:30,03/01/2023 06:30,,Callao,Callao,Callao,Lima
1000155,Pendiente,05/11/2022 02:10,Sin Información,Sin Información,,Apurimac,Andahuaylas,Huancarama,Sur
1000156,Pendiente,04/07/2022 06:45,Sin Información,Sin Información,,Junin,Jauja,Jauja,Centro
1000157,Rechazado,30/08/2022 12:11,30/08/2022 12:11,13/09/2022 12:11,73,Amazonas,Chachapoyas,Balsas,Norte
1000158,Duplicado/Riesgo/Fraude,23/06/2022 13:41,Sin Información,24/06/2022 13:41,1,San Martin,Bellavista,Alto Biavo,Norte
1000159,Duplicado/Riesgo/Fraude,13/07/2022 08:13,Sin Información,18/07/2022 08:13,36,Cusco,Urubamba,Huayllabamba,Sur
1000160,Atendido,31/12/2022 23:28,01/01/2023 23:28,14/01/2023 23:28,,Puno,Carabaya,Coasa,Sur
1000161,Duplicado/Riesgo/Fraude,23/01/2022 22:11,Sin Información,26/01/2022 22:11,59,Ancash,Sihuas,Quiches,Centro
1000162,Pendiente,23/06/2022 13:19,26/06/2022 13:19,Sin Información,,Huanuco,Huanuco,Santa Maria Del Valle,Centro
1000163,Atendido,19/03/2022 04:34,19/03/2022 04:34,21/03/2022 04:34,,Lima,Cañete,Quilmana,Lima
1000164,Pendiente,26/11/2022 13:06,27/11/2022 13:06,Sin Información,,Huancavelica,Castrovirreyna,Ticrapo,Centro
1000165,Rechazado,15/06/2022 23:52,15/06/2022 23:52,30/06/2022 23:52,41,San Martin,Huallaga,Sacanche,Norte
1000166,Pendiente,30/03/2022 03:25,Sin Información,Sin Información,,Cusco,Paucartambo,Huancarani,Sur
1000167,Pendiente,22/11/2022 07:55,22/11/2022 07:55,Sin Información,,Lima,Huaura,Ambar,Lima
1000168,Pendiente,02/06/2022 02:48,Sin Información,Sin Información,,Lima,Huaral,Sumbilca,Lima
1000169,Duplicado/Riesgo/Fraude,22/02/2022 23:07,Sin Información,25/02/2022 23:07,31,Arequipa,Caraveli,Chala,Sur
1000170,Pendiente,11/05/2022 10:41,Sin Información,Sin Información,,Puno,San Antonio De Putina,Putina,Sur
1000171,Atendido,14/09/2022 12:50,15/09/2022 12:50,20/09/2022 12:50,,Cusco,La Convencion,Huayopata,Sur
1000172,Atendido,21/06/2022 22:33,21/06/2022 22:33,30/06/2022 22:33,,Lima,Yauyos,Laraos,Lima
1000173,Atendido,11/10/2022 08:02,13/10/2022 08:02,16/10/2022 08:02,,Puno,Azangaro,Achaya,Sur
1000174,Rechazado,31/08/2022 01:50,02/09/2022 01:50,07/09/2022 01:50,3,Lima,Yauyos,Miraflores,Lima
1000175,Atendido,10/04/2022 01:19,12/04/2022 01:19,27/04/2022 01:19,,Ancash,Bolognesi,Pacllon,Centro
1000176,Rechazado,12/11/2022 06:42,12/11/2022 06:42,27/11/2022 06:42,76,Cajamarca,Contumaza,Yonan,Norte
1000177,Rechazado,24/06/2022 16:11,24/06/2022 16:11,09/07/2022 16:11,92,Cusco,Anta,Chinchaypujio,Sur
1000178,Atendido,17/12/2022 01:02,17/12/2022 01:02,26/12/2022 01:02,,Lima,Huarochiri,San Antonio,Lima
1000179,Pendiente,16/02/2022 23:30,Sin Información,Sin Información,,La Libertad,Gran Chimu,Marmot,Norte
1000180,Duplicado/Riesgo/Fraude,15/10/2022 16:48,Sin Información,16/10/2022 16:48,82,Junin,Jauja,Huaripampa,Centro
1000181,Atendido,24/03/2022 20:52,26/03/2022 20:52,31/03/2022 20:52,,Ayacucho,Cangallo,Totos,Centro
1000182,Atendido,23/04/2022 22:13,25/04/2022 22:13,05/05/2022 22:13,,Junin,Chanchamayo,San Ramon,Centro
1000183,Atendido,02/06/2022 22:40,03/06/2022 22:40,09/06/2022 22:40,,Puno,Sandia,Alto Inambari,Sur
1000184,Atendido,13/01/2022 14:27,13/01/2022 14:27,27/01/2022 14:27,,Arequipa,La Union,Quechualla,Sur
1000185,Rechazado,19/03/2022 11:33,21/03/2022 11:33,01/04/2022 11:33,9,Callao,Callao,Mi Peru,Lima
1000186,Duplicado/Riesgo/Fraude,30/07/2022 06:10,Sin Información,03/08/2022 06:10,18,Huanuco,Huamalies,Chavin De Pariarca,Centro
1000187,Duplicado/Riesgo/Fraude,07/08/2022 02:09,Sin Información,10/08/2022 02:09,64,Cajamarca,San Marcos,Pedro Galvez,Norte
1000188,Duplicado/Riesgo/Fraude,08/05/2022 06:12,Sin Información,10/05/2022 06:12,4,Apurimac,Andahuaylas,Andahuaylas,Sur
1000189,Atendido,21/10/2022 17:53,23/10/2022 17:53,07/11/2022 17:53,,Puno,Chucuito,Kelluyo,Sur
1000190,Duplicado/Riesgo/Fraude,01/07/2022 08:47,Sin Información,04/07/2022 08:47,85,Ancash,Yungay,Shupluy,Centro
1000191,Rechazado,26/03/2022 05:20,29/03/2022 05:20,09/04/2022 05:20,86,Arequipa,Caraveli,Bella Union,Sur
1000192,Atendido,04/10/2022 15:32,07/10/2022 15:32,12/10/2022 15:32,,Amazonas,Utcubamba,Cumba,Norte
1000193,Pendiente,08/03/2022 03:32,09/03/2022 03:32,Sin Información,,Lima,Lima,Breña,Lima
1000194,Pendiente,23/07/2022 13:54,26/07/2022 13:54,Sin Información,,Cajamarca,Cajamarca,Jesus,Norte
1000195,Pendiente,24/07/2022 18:07,Sin Información,Sin Información,,Puno,Lampa,Pucara,Sur
1000196,Atendido,23/09/2022 14:47,26/09/2022 14:47,28/09/2022 14:47,,Huanuco,Huanuco,Yarumayo,Centro
1000197,Rechazado,15/12/2022 15:04,18/12/2022 15:04,26/12/2022 15:04,20,Ancash,Santa,Coishco,Centro
1000198,Atendido,10/08/2022 02:03,11/08/2022 02:03,20/08/2022 02:03,,Ayacucho,Huamanga,Ayacucho,Centro
1000199,Atendido,23/05/2022 11:35,25/05/2022 11:35,06/06/2022 11:35,,Arequipa,Arequipa,Jacobo Hunter,Sur
1000200,Pendiente,15/07/2022 19:23,18/07/2022 19:23,Sin Información,,Puno,Chucuito,Kelluyo,Sur
1000201,Duplicado/Riesgo/Fraude,17/04/2022 07:17,Sin Información,20/04/2022 07:17,97,Junin,Jauja,Pancan,Centro
1000202,Duplicado/Riesgo/Fraude,08/01/2022 00:33,Sin Información,10/01/2022 00:33,100,La Libertad,Gran Chimu,Marmot,Norte
1000203,Duplicado/Riesgo/Fraude,21/04/2022 06:42,Sin Información,24/04/2022 06:42,90,Amazonas,Chachapoyas,Huancas,Norte
1000204,Duplicado/Riesgo/Fraude,25/04/2022 02:50,Sin Información,26/04/2022 02:50,77,Amazonas,Bagua,Copallin,Norte
1000205,Pendiente,15/04/2022 19:51,Sin Información,Sin Información,,Apurimac,Antabamba,Juan Espinoza Medrano,Sur
1000206,Pendiente,16/12/2022 08:48,18/12/2022 08:48,Sin Información,,Cajamarca,Cajamarca,Cospan,Norte
1000207,Rechazado,05/08/2022 11:21,05/08/2022 11:21,20/08/2022 11:21,10,Puno,Lampa,Pucara,Sur
1000208,Atendido,19/10/2022 01:23,19/10/2022 01:23,23/10/2022 01:23,,Lima,Oyon,Caujul,Lima
1000209,Pendiente,20/05/2022 22:02,Sin Información,Sin Información,,Apurimac,Aymaraes,Tintay,Sur
1000210,Atendido,19/02/2022 18:19,22/02/2022 18:19,24/02/2022 18:19,,Puno,Lampa,Palca,Sur
